,County,Region,Child Population,Children in DFPS Legal Responsibility,Point Prevalence**,Children Entering Substitute Care,Children in Substitute Care - Relative*,Children in Substitute Care - Non Relative**,Children in Foster Care***
34,CASS,004,6997,86,12.3,56,59,22,30
35,CASTRO,001,2491,24,9.6,8,18,4,5
36,CHAMBERS,006,10845,52,4.8,20,23,28,29
37,CHEROKEE,004,13835,195,14.1,74,87,109,130
38,CHILDRESS,001,1510,8,5.3,1,0,8,8
39,CLAY,002,2386,8,3.4,1,5,2,3
40,COCHRAN,001,881,2,2.3,0,2,0,0
41,COKE,009,618,7,11.3,3,4,4,7
42,COLEMAN,002,1938,22,11.4,9,7,14,14
43,COLLIN,003,254505,541,2.1,232,238,282,386
44,COLLINGSWORTH,001,831,10,12.0,1,5,5,4
45,COLORADO,006,4953,23,4.6,7,17,5,9
46,COMAL,008,28014,411,14.7,186,238,157,235
47,COMANCHE,002,3372,17,5.0,4,7,10,16
48,CONCHO,009,592,2,3.4,0,0,2,2
49,COOKE,003,9766,128,13.1,46,49,79,105
50,CORYELL,007,23635,200,8.5,102,117,78,111
51,COTTLE,002,359,3,8.4,0,0,3,0
52,CRANE,009,1311,3,2.3,3,3,0,0
53,CROCKETT,009,988,17,17.2,8,12,4,4
54,CROSBY,001,1808,35,19.4,16,23,13,22
55,CULBERSON,010,679,4,5.9,2,2,2,2
56,DALLAM,001,2195,21,9.6,12,7,15,13
57,DALLAS,003,680491,4646,6.8,1823,2492,2087,3063
58,DAWSON,009,3420,66,19.3,10,38,26,40
59,DEAF SMITH,001,6620,52,7.9,13,26,26,35
60,DELTA,004,1124,24,21.4,6,9,13,15
61,DENTON,003,208025,616,3.0,235,267,317,398
62,DE WITT,008,4499,70,15.6,17,45,28,42
