,County,Population With a Disability Ages 18-64,Population Ages 65+,Total APS Intakes,Total APS Completed Investigations,Validated APS Investigations,APS Clients Receiving Services,Intakes,Completed Investigation,Confirmed Investigations,Initial Intakes Alleging Abuse/Neglect,Child Abuse/ Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location,Alleged Victims  of Child Abuse/  Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/ Neglect per 1000 Children,Total CPS Completed Investi-gations,Confirmed CPS Investi-gations,Percent Investigations Confirmed,Total Children Served in Fiscal Year 2006,Subsequently Confirmed Victims in Fiscal Years 2006 - 2011,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in  Foster Care at Time*,Children in DFPS Legal Responsibility,Point of Prevalence**,Children Entering Subsitute- Care (Total Removals),Children in Substitute Care***,Children in Foster Care*,Unique Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized****,DFPS Responsibility Terminated***,Paid Foster  Care Clients,Paid Foster  Expenditures*,Foster Homes*,Foster/ Adoptive Homes**,Adoptive Homes***,Children Receiving Sub-Care Purchased Services,Expenditures For Sub-Care Purchased Services,Children in Substitute Care,Children Receiving In-home Purchased Services,Expenditures For InHome Purchased Services,Children Receiving In-home Services,Total,African American,Anglo,Hispanic,Native American,Other**,Other***,Family Reunification,Custody Given to Relative,Non-Relative Adoption,Relative Adoption,Children Emancipated,Other*,Child Population Ages 0 - 13,Licensed Child Care Centers,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes,Child Pop- ulation Age 0-17,Child Placing Agen-cies (CPA),Homes Verified by CPAs,General Resi-dential Opera-tions,Inde-pent Foster and Group Homes,Resi- dential Treat-ment Centers,Mater-nity Homes,Total Resi-dential,Total Resi- dential Capacity,STAR,CYD,SYSN,YRP*,TOTAL,CBCAP,FSP*,TFTS
30,CAMERON,33090,48338,1664,1447,1004,1207,297,268,38,4549,3806,43,6264,4227,3667,1809,4455,152,137876,1819,13.2,3372,909,27.0%,1560,384,3,0,476,3.5,192,458,336,416,0,195,44,24,19,192,330,3687632,5,14,6,135,"$98,778.30",458,93,"$7,609.44",3305,137876,285,6450,130061,103,977,,,,,,,,107244,214,15007,23,275,31,32,137876,7,152,6,0,0,0,165,1378,413,2323,134,0,2779,,,
31,CAMP,1100,2153,91,70,55,54,0,0,0,132,111,0,161,124,110,21,140,11,3396,32,9.4,105,23,21.9%,56,22,,,46,13.5,16,46,29,42,0,20,4,6,2,16,29,320939,0,0,0,5,"$2,225.62",46,4,$380.00,62,3396,546,1490,1205,8,147,,,,,,,,2596,6,437,2,24,1,0,3396,0,9,0,0,0,0,9,28,12,0,0,0,12,,,
32,CARSON,430,1094,13,8,6,9,0,0,0,57,44,0,63,47,40,3,60,2,1545,16,10.4,36,8,22.2%,6,0,,,11,7.1,5,12,10,11,0,5,0,0,4,2,7,62672,0,0,1,1,$84.00,12,3,$252.00,4,1545,15,1294,190,8,38,,,,,,,,1146,0,0,0,0,5,2,1545,0,1,0,0,0,0,1,0,5,0,0,0,5,,,
33,CASS,2880,6133,179,139,81,73,1,1,0,382,313,4,483,389,312,58,425,38,7036,81,11.5,287,51,17.8%,49,2,1,0,61,8.7,35,60,39,56,0,39,5,8,7,20,39,277511,0,5,2,8,"$6,990.85",60,7,$503.10,87,7036,1334,4965,494,25,218,,,,,,,,5331,5,455,0,0,20,0,7036,0,9,0,0,0,0,9,33,31,0,0,0,31,,,
34,CASTRO,570,1146,22,15,15,16,0,0,0,75,63,0,124,83,83,33,91,10,2497,40,16.0,62,17,27.4%,22,4,,,31,12.4,30,30,16,30,0,30,0,0,0,5,16,145118,0,5,0,7,$444.00,30,1,$84.00,49,2497,53,586,1833,8,17,,,,,,,,1931,3,80,0,0,3,1,2497,0,6,0,0,0,0,6,18,52,0,0,0,52,,,
35,CHAMBERS,2070,3812,60,48,30,46,0,0,0,292,249,0,320,239,209,57,263,26,10367,79,7.6,201,51,25.4%,27,8,,,75,7.2,37,76,42,66,0,37,4,1,8,20,39,385749,0,2,1,3,$656.55,76,9,"$1,310.84",52,10367,714,6409,2896,32,316,,,,,,,,7779,15,1397,2,24,6,3,10367,0,7,0,0,0,0,7,15,21,0,0,0,21,,,
36,CHEROKEE,4500,8050,540,472,373,546,523,492,17,628,554,5,752,572,516,109,643,65,13396,169,12.6,449,106,23.6%,73,8,2,0,207,15.5,95,200,149,174,0,100,5,19,13,54,147,1356707,2,1,3,11,"$10,561.92",200,7,$627.27,188,13396,1800,6501,4609,15,471,,,,,,,,10484,13,1143,1,12,14,3,13396,0,20,0,0,0,0,20,55,151,0,0,0,151,,,
37,CHILDRESS,500,1110,73,52,43,96,0,0,0,90,79,1,90,59,39,29,61,5,1520,26,17.1,52,20,38.5%,8,2,,,24,15.8,9,24,20,17,0,9,0,5,5,2,20,322523,0,0,0,8,"$7,355.32",24,4,$618.30,35,1520,72,894,506,11,37,,,,,,,,1168,3,84,3,36,14,3,1520,0,1,0,0,0,0,1,3,3,0,0,0,3,,,
38,CLAY,1040,2025,165,142,128,93,1,1,0,67,58,0,67,47,29,9,58,2,2394,19,7.9,42,13,31.0%,20,14,,,9,3.8,2,9,6,7,0,2,0,2,2,1,6,174806,0,1,0,3,"$1,253.70",9,0,$0.00,10,2394,15,2117,185,33,44,,,,,,,,1763,4,168,1,12,1,3,2394,0,7,0,0,0,0,7,27,5,0,0,0,5,,,
39,COCHRAN,220,510,95,87,86,116,0,0,0,22,22,0,32,20,20,2,30,1,885,12,13.6,19,8,42.1%,3,0,,,7,7.9,2,8,7,5,0,1,0,0,0,4,7,127674,0,0,0,0,$0.00,8,0,$0.00,5,885,19,243,615,0,8,,,,,,,,690,1,55,0,0,0,0,885,0,0,0,0,0,0,0,0,9,0,0,0,9,,,
40,COKE,240,866,28,21,14,7,0,0,0,35,34,0,21,18,16,3,18,4,661,3,4.5,15,2,13.3%,18,5,,,12,18.2,5,8,8,12,0,5,0,2,1,4,8,41487,0,0,0,2,$450.00,8,0,$0.00,7,661,1,459,187,1,13,,,,,,,,496,1,17,0,0,0,0,661,0,0,0,0,0,0,0,0,7,0,3,0,10,,,
41,COLEMAN,810,2024,86,78,57,60,0,0,0,121,89,1,127,85,67,28,99,8,1957,41,21.0,75,21,28.0%,31,13,,,36,18.4,9,37,28,26,0,9,5,4,1,10,28,374497,0,1,1,4,"$3,114.10",37,1,$35.00,46,1957,41,1352,515,8,41,,,,,,,,1518,3,134,4,48,2,2,1957,0,7,0,0,0,0,7,16,43,0,0,0,43,,,
