,County,Population With a Disability Ages 18-64,Population Ages 65+,Total APS Intakes,Total APS Completed Investigations,Validated APS Investigations,APS Clients Receiving Services,Intakes,Completed Investigation,Confirmed Investigations,Initial Intakes Alleging Abuse/Neglect,Child Abuse/ Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location,Alleged Victims  of Child Abuse/  Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/ Neglect per 1000 Children,Total CPS Completed Investi-gations,Confirmed CPS Investi-gations,Percent Investigations Confirmed,Total Children Served in Fiscal Year 2006,Subsequently Confirmed Victims in Fiscal Years 2006 - 2011,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in  Foster Care at Time*,Children in DFPS Legal Responsibility,Point of Prevalence**,Children Entering Subsitute- Care (Total Removals),Children in Substitute Care***,Children in Foster Care*,Unique Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized****,DFPS Responsibility Terminated***,Paid Foster  Care Clients,Paid Foster  Expenditures*,Foster Homes*,Foster/ Adoptive Homes**,Adoptive Homes***,Children Receiving Sub-Care Purchased Services,Expenditures For Sub-Care Purchased Services,Children in Substitute Care,Children Receiving In-home Purchased Services,Expenditures For InHome Purchased Services,Children Receiving In-home Services,Total,African American,Anglo,Hispanic,Native American,Other**,Other***,Family Reunification,Custody Given to Relative,Non-Relative Adoption,Relative Adoption,Children Emancipated,Other*,Child Population Ages 0 - 13,Licensed Child Care Centers,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes,Child Pop- ulation Age 0-17,Child Placing Agen-cies (CPA),Homes Verified by CPAs,General Resi-dential Opera-tions,Inde-pent Foster and Group Homes,Resi- dential Treat-ment Centers,Mater-nity Homes,Total Resi-dential,Total Resi- dential Capacity,STAR,CYD,SYSN,YRP*,TOTAL,CBCAP,FSP*,TFTS
172,MOTLEY,80,349,24,22,15,17,0,0,0,7,6,0,8,0,0,0,8,0,249,6,24.1,3,3,100.0%,4,0,,,2,8.0,0,2,1,0,0,0,0,0,0,0,1,27843,0,0,1,0,$0.00,2,0,$0.00,2,249,2,177,67,2,1,,,,,,,,188,0,0,0,0,0,0,249,0,1,0,0,0,0,1,0,2,0,0,0,2,,,
173,NACOGDOCHES,6840,8069,289,269,253,298,3,4,1,583,425,6,648,452,416,94,554,65,16124,181,11.2,382,98,25.7%,148,29,,,201,12.5,67,199,161,145,0,66,8,41,14,29,161,1718052,1,13,0,35,"$15,403.71",199,15,"$2,367.71",96,16124,3027,7794,4669,51,583,,,,,,,,12711,16,2091,2,24,9,4,16124,1,40,0,0,1,0,42,174,66,0,29,0,95,,,
174,NAVARRO,2630,7331,281,258,175,166,45,46,5,493,446,6,478,358,247,95,383,29,13134,116,8.8,276,62,22.5%,52,8,,,107,8.1,37,105,80,84,0,38,4,12,15,25,82,1100759,0,1,0,55,"$16,086.00",105,2,$601.40,141,13134,1718,5868,5011,25,512,,,,,,,,10126,17,1439,5,60,9,12,13134,2,53,0,0,2,0,57,242,47,0,23,0,70,,,
175,NEWTON,1680,2491,110,105,65,89,2,2,1,137,121,0,155,108,90,33,122,12,3177,39,12.3,85,22,25.9%,8,0,1,0,27,8.5,13,24,19,20,0,13,0,0,0,7,19,386575,0,2,0,3,"$3,797.11",24,2,$196.65,40,3177,671,2233,148,22,103,,,,,,,,2387,4,203,0,0,2,0,3177,0,6,0,0,0,0,6,20,17,0,0,0,17,,,
176,NOLAN,1330,2638,174,157,112,82,3,3,1,301,259,5,335,178,153,136,199,38,3978,147,37.0,183,75,41.0%,78,21,,,82,20.6,51,79,58,75,0,52,0,2,3,30,58,327468,0,1,0,1,$79.07,79,5,$571.15,155,3978,207,1818,1858,7,88,,,,,,,,3127,9,651,1,12,6,3,3978,0,3,0,0,0,0,3,10,27,0,0,0,27,,,
177,NUECES,30870,43637,2131,1788,1318,1507,591,560,49,4150,3717,39,5097,3862,3346,1136,3961,172,88188,1107,12.6,3056,676,22.1%,2099,437,5,0,681,7.7,211,653,435,572,0,231,27,66,96,323,421,4973072,0,11,8,173,"$221,768.73",653,99,"$10,509.59",2405,88188,2882,18715,63837,189,2565,,,,,,,,68448,150,12997,43,510,74,53,88188,9,127,2,0,0,0,138,548,801,1378,101,0,2280,,,
178,OCHILTREE,700,1121,10,11,7,6,0,0,0,86,80,0,117,82,64,13,104,8,3380,32,9.5,70,17,24.3%,1,0,,,15,4.4,6,15,11,12,0,6,1,1,1,4,11,150355,0,1,0,0,$0.00,15,0,$0.00,16,3380,8,1112,2214,17,29,,,,,,,,2710,6,350,0,0,3,0,3380,0,3,0,0,0,0,3,7,24,0,10,0,34,,,
179,OLDHAM,140,288,11,10,8,7,0,0,0,12,10,0,6,6,6,0,6,0,630,0,0.0,4,0,0.0%,5,0,,,2,3.2,1,2,2,2,0,1,0,0,0,1,2,3440,0,0,0,0,$0.00,2,0,$0.00,0,630,37,476,101,5,11,,,,,,,,387,1,51,0,0,0,0,630,0,0,1,0,0,0,1,437,1,0,0,0,1,,,
180,ORANGE,9150,11993,538,423,255,182,9,9,2,1216,1073,13,1615,1146,900,138,1477,71,20590,435,21.1,985,256,26.0%,85,16,1,0,217,10.5,79,209,189,177,0,78,11,26,13,65,185,1552428,1,26,4,34,"$9,145.30",209,2,$395.36,206,20590,2072,15717,1962,82,757,,,,,,,,15710,25,2663,5,60,12,9,20590,0,48,0,0,0,0,48,162,79,0,0,0,79,,,
181,PALO PINTO,1530,4972,183,151,114,116,1,1,1,439,402,3,625,424,344,154,471,42,7095,176,24.8,347,100,28.8%,81,18,,,112,15.8,53,111,74,98,0,55,0,7,11,31,73,649514,0,0,0,51,"$21,548.06",111,0,$0.00,169,7095,187,4585,2140,28,155,,,,,,,,5455,5,568,1,12,16,9,7095,0,3,0,0,0,0,3,9,36,0,0,0,36,,,
182,PANOLA,2250,3944,108,95,63,79,2,1,0,199,178,2,252,193,170,31,221,6,5851,47,8.0,149,32,21.5%,50,15,,,32,5.5,11,29,16,25,0,11,5,4,0,11,16,228212,0,2,0,5,"$4,176.46",29,9,$826.79,42,5851,966,3809,909,18,149,,,,,,,,4572,7,561,1,12,5,3,5851,0,4,0,0,0,0,4,16,22,0,0,0,22,,,
183,PARKER,6980,16126,353,242,172,264,0,1,0,1317,1179,11,1483,1183,998,180,1303,41,31106,267,8.6,924,162,17.5%,252,58,,,98,3.2,45,92,69,78,0,47,2,10,5,18,68,959854,0,4,1,47,"$16,960.26",92,8,"$1,526.85",284,31106,368,24344,5307,211,876,,,,,,,,23340,40,3760,2,24,16,12,31106,0,45,1,0,0,0,46,183,21,0,2,0,23,,,
184,PARMER,730,1280,23,14,12,16,0,0,0,43,40,0,72,52,40,6,66,0,3268,19,5.8,43,12,27.9%,23,4,,,4,1.2,0,4,4,1,0,0,0,0,0,1,5,115372,0,0,0,0,$0.00,4,1,$84.00,22,3268,17,816,2419,2,14,,,,,,,,2524,1,48,1,12,2,0,3268,0,2,0,0,0,0,2,8,14,0,0,0,14,,,
185,PECOS,1410,1958,78,66,53,64,0,0,0,114,75,3,130,80,63,36,94,7,3884,48,12.4,75,25,33.3%,32,6,,,34,8.8,16,34,23,30,0,16,0,0,4,15,22,229706,0,1,0,5,"$1,872.12",34,1,$237.21,84,3884,20,599,3221,9,35,,,,,,,,3098,4,319,2,24,4,1,3884,0,1,0,0,0,0,1,2,16,0,0,0,16,,,
186,POLK,5020,9213,411,356,274,299,0,0,0,517,421,6,653,499,441,98,555,46,9670,141,14.6,391,82,21.0%,96,26,,,117,12.1,45,114,80,93,0,47,10,11,6,30,79,739196,0,5,0,23,"$5,655.37",114,6,$570.00,129,9670,1058,6120,1974,236,282,,,,,,,,7434,8,814,2,24,3,1,9670,0,20,0,0,0,0,20,101,57,0,12,0,69,,,
187,POTTER,9030,13667,886,773,568,537,23,22,7,2120,1831,28,2622,1873,1541,498,2124,79,34211,666,19.5,1500,358,23.9%,336,127,2,0,372,10.9,105,370,307,268,0,139,24,42,36,74,306,4674298,0,15,3,196,"$166,372.02",370,135,"$14,004.25",982,34211,3233,11444,16847,126,2561,,,,,,,,27414,43,4174,0,0,64,34,34211,6,63,1,0,0,0,70,212,141,833,12,0,986,,,
188,PRESIDIO,490,1483,31,30,26,23,0,0,0,41,31,0,40,25,18,18,22,10,2247,15,6.7,24,8,33.3%,28,0,,,14,6.2,10,14,12,14,0,10,2,0,0,7,12,88668,0,0,0,0,$0.00,14,0,$0.00,25,2247,11,181,2006,4,45,,,,,,,,1657,1,30,0,0,7,1,2247,0,0,0,0,0,0,0,0,18,0,0,0,18,,,
189,RAINS,1000,2504,70,50,35,38,0,0,0,80,68,0,88,73,67,7,81,5,2374,15,6.3,59,11,18.6%,34,9,,,20,8.4,6,15,10,18,0,8,0,2,3,5,10,113124,0,2,0,6,"$12,339.06",15,3,$285.00,25,2374,48,1879,366,28,53,,,,,,,,1695,2,96,1,12,3,1,2374,0,7,0,0,0,0,7,27,18,0,0,0,18,,,
190,RANDALL,8680,16113,423,346,240,226,102,90,33,1134,980,4,1334,943,764,271,1063,140,31181,363,11.6,833,214,25.7%,194,38,,,466,14.9,135,444,299,370,0,180,29,25,57,128,284,4354797,1,26,2,59,"$30,799.65",444,26,"$2,300.40",457,31181,897,20710,8181,138,1255,,,,,,,,24116,44,4603,3,36,55,48,31181,3,90,4,0,0,0,97,440,77,0,10,0,87,,,
191,REAGAN,280,406,8,5,5,7,0,0,0,32,27,0,27,25,23,3,24,1,1017,2,2.0,21,2,9.5%,5,0,,,4,3.9,1,4,4,4,0,1,0,0,3,0,4,18179,0,0,0,3,"$3,750.00",4,0,$0.00,5,1017,12,205,787,0,13,,,,,,,,763,1,60,0,0,2,0,1017,0,1,0,0,0,0,1,2,2,0,0,0,2,,,
192,REAL,250,932,20,13,4,5,0,0,0,36,30,0,38,25,23,13,25,1,604,13,21.5,27,9,33.3%,6,1,,,9,14.9,1,8,7,6,0,1,0,3,0,2,7,148453,0,0,0,0,$0.00,8,0,$0.00,9,604,6,331,252,5,10,,,,,,,,432,3,139,0,0,2,0,604,0,1,0,0,0,0,1,6,3,0,0,0,3,,,
193,RED RIVER,1210,2873,119,99,76,70,0,0,0,132,106,1,138,105,86,30,108,10,2730,30,11.0,87,19,21.8%,32,5,,,34,12.5,11,34,22,30,0,12,0,9,4,13,22,290509,0,1,1,3,"$4,745.00",34,3,$97.00,33,2730,530,1748,350,18,84,,,,,,,,2070,1,72,4,48,10,1,2730,0,3,0,0,0,0,3,7,15,0,0,0,15,,,
194,REEVES,1300,1743,87,78,53,56,0,0,0,87,71,0,117,89,80,23,94,0,3111,26,8.4,62,12,19.4%,31,12,,,8,2.6,0,8,6,7,0,0,5,0,1,1,6,133170,0,0,0,1,"$1,023.00",8,1,$158.14,51,3111,46,299,2720,3,43,,,,,,,,2427,3,179,3,36,7,0,3111,0,0,0,0,0,0,0,0,19,0,0,0,19,,,
195,REFUGIO,650,1519,26,21,17,21,0,0,0,81,64,0,94,76,69,20,74,5,1739,18,10.4,56,15,26.8%,40,5,,,6,3.5,2,5,4,4,0,2,0,0,0,3,7,50525,0,0,0,0,$0.00,5,0,$0.00,57,1739,100,567,1042,2,28,,,,,,,,1332,2,79,0,0,1,2,1739,0,3,0,0,0,0,3,12,25,0,0,0,25,,,
196,ROBERTS,60,170,0,0,0,0,0,0,0,5,5,0,3,0,0,0,3,0,238,3,12.6,1,1,100.0%,3,0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0.00,0,1,$84.00,0,238,0,212,25,0,1,,,,,,,,185,0,0,0,0,1,0,238,0,0,0,0,0,0,0,0,5,0,0,0,5,,,
197,ROBERTSON,1190,2971,99,73,51,52,3,2,0,172,153,1,245,174,157,34,211,16,4212,68,16.1,142,41,28.9%,39,4,,,40,9.5,18,40,19,30,0,18,0,3,2,7,20,293125,0,0,3,2,"$3,508.95",40,2,$580.49,73,4212,982,1945,1179,11,95,,,,,,,,3226,4,336,2,24,5,1,4212,0,4,0,0,0,0,4,4,72,0,0,0,72,,,
198,ROCKWALL,4570,8813,142,115,89,65,4,2,0,452,387,1,395,307,210,64,331,12,25042,77,3.1,253,52,20.6%,41,4,,,48,1.9,16,47,24,41,0,16,0,7,4,19,24,222074,0,10,3,30,"$7,578.60",47,2,$395.85,113,25042,1572,16509,5565,110,1286,,,,,,,,18680,22,3330,8,96,16,2,25042,0,33,0,0,0,0,33,75,194,0,17,0,211,,,
199,RUNNELS,880,2130,101,91,74,61,0,0,0,115,92,1,89,69,66,12,77,4,2614,15,5.7,55,11,20.0%,18,8,,,36,13.8,7,35,19,27,0,7,0,5,3,14,20,245555,0,2,1,2,"$4,524.43",35,0,$0.00,30,2614,40,1291,1249,9,25,,,,,,,,1951,5,142,3,36,2,2,2614,0,5,0,0,0,0,5,14,26,0,0,0,26,,,
200,RUSK,5260,7946,243,178,115,169,1,1,0,508,447,3,587,427,389,75,512,32,12632,144,11.4,360,92,25.6%,108,28,,,108,8.5,44,94,42,98,0,47,1,10,6,45,41,423582,0,6,3,11,"$9,121.46",94,12,"$1,106.44",132,12632,1878,7247,3027,56,424,,,,,,,,9820,13,922,4,48,12,4,12632,0,16,0,0,0,0,16,51,30,0,43,0,73,,,
201,SABINE,1180,3141,112,96,81,93,0,0,0,76,67,2,106,83,53,14,92,3,2051,21,10.2,63,12,19.0%,34,6,,,11,5.4,3,9,5,9,0,3,0,3,3,3,5,65704,0,0,0,1,$481.84,9,0,$0.00,25,2051,171,1661,135,10,74,,,,,,,,1543,2,116,0,0,1,0,2051,0,0,0,0,0,0,0,0,20,0,0,0,20,,,
202,SAN AUGUSTINE,1000,2197,128,102,86,110,8,7,0,69,61,0,68,49,30,16,52,3,1840,15,8.2,49,12,24.5%,4,0,,,7,3.8,6,7,4,6,0,6,0,3,0,0,4,20950,0,3,0,3,"$1,612.73",7,1,$27.00,24,1840,507,1061,228,3,41,,,,,,,,1409,3,154,0,0,0,0,1840,0,12,0,0,0,0,12,37,43,0,28,0,71,,,
203,SAN JACINTO,3060,5049,308,274,230,285,0,0,0,324,274,2,401,309,279,69,332,30,6410,79,12.3,236,44,18.6%,36,5,,,82,12.8,33,74,68,62,0,33,1,5,5,23,68,824693,1,1,1,9,"$3,787.96",74,3,$508.95,95,6410,668,4269,1262,21,190,,,,,,,,4774,3,173,0,0,5,0,6410,0,7,0,0,0,0,7,24,32,0,1,0,33,,,
204,SAN PATRICIO,5560,8931,400,347,234,230,3,3,0,895,803,10,1061,719,628,308,753,49,18070,312,17.3,592,165,27.9%,571,124,2,0,111,6.1,62,112,83,92,0,64,0,7,6,29,85,811993,0,0,1,20,"$23,935.48",112,25,"$4,431.34",584,18070,220,5564,11857,37,392,,,,,,,,13906,30,2031,3,36,10,2,18070,0,22,2,0,1,0,25,200,286,0,11,0,297,,,
205,SAN SABA,370,1268,31,22,15,28,0,0,0,58,52,0,79,60,57,13,66,2,1247,13,10.4,36,6,16.7%,10,3,,,14,11.2,3,10,6,9,0,3,0,0,1,5,6,167882,0,0,0,5,"$5,362.74",10,3,$710.56,21,1247,7,689,531,8,12,,,,,,,,920,1,31,1,12,1,3,1247,1,7,1,0,0,0,9,94,15,0,0,0,15,,,
206,SCHLEICHER,260,509,21,20,20,24,0,0,0,18,17,0,22,8,8,13,9,3,1121,11,9.8,9,5,55.6%,9,0,,,5,4.5,3,5,5,5,0,3,0,0,0,2,5,23435,0,1,0,0,$0.00,5,0,$0.00,13,1121,12,574,529,0,6,,,,,,,,899,1,20,1,12,1,0,1121,0,1,0,0,0,0,1,2,3,0,0,0,3,,,
207,SCURRY,1520,2487,97,92,63,44,0,0,0,216,176,1,260,183,152,56,204,4,4325,69,16.0,138,44,31.9%,62,10,,,28,6.5,9,29,24,19,0,10,1,2,3,3,27,335903,1,2,0,6,"$2,206.08",29,3,$430.36,80,4325,96,1855,2277,9,88,,,,,,,,3399,5,421,3,36,2,2,4325,0,7,0,0,0,0,7,26,58,0,0,0,58,,,
208,SHACKELFORD,310,633,15,14,10,12,0,0,0,18,17,0,18,14,12,2,16,0,816,4,4.9,16,3,18.8%,14,6,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0.00,0,0,$0.00,2,816,6,669,120,1,20,,,,,,,,624,1,51,0,0,2,0,816,0,3,0,0,0,0,3,12,1,0,0,0,1,,,
209,SHELBY,2680,4173,239,224,193,168,1,0,0,275,198,2,279,198,180,55,224,38,6739,77,11.4,174,45,25.9%,26,4,,,73,10.8,38,73,69,65,0,37,7,7,5,19,67,709350,1,2,1,16,"$14,212.82",73,5,"$1,799.04",57,6739,1213,3599,1805,15,107,,,,,,,,5339,3,172,1,12,2,1,6739,1,26,0,0,0,0,27,130,51,0,0,0,51,,,
210,SHERMAN,210,451,2,2,2,1,0,0,0,15,13,0,17,16,16,0,17,0,879,1,1.1,10,1,10.0%,7,3,,,1,1.1,0,1,1,0,0,0,0,0,0,0,1,38256,0,1,0,0,$0.00,1,0,$0.00,5,879,3,359,506,4,7,,,,,,,,638,1,51,0,0,2,1,879,0,1,0,0,0,0,1,3,2,0,2,0,4,,,
211,SMITH,18680,31410,1305,1047,811,829,29,25,1,1774,1408,14,2540,1998,1856,268,2272,150,54893,493,9.0,1591,319,20.1%,292,66,3,0,463,8.4,231,455,300,379,0,229,13,62,71,79,288,3071229,4,10,4,329,"$216,360.60",455,24,"$3,950.88",445,54893,10223,26760,15453,161,2296,,,,,,,,42820,89,8465,7,84,49,7,54893,11,114,3,0,3,1,132,616,329,0,2,0,331,,,
212,SOMERVELL,480,1361,20,19,18,21,0,0,0,66,59,0,92,61,48,27,65,3,2206,28,12.7,52,16,30.8%,21,7,,,12,5.4,3,12,10,11,0,3,2,1,3,5,12,97869,0,0,0,6,"$3,413.72",12,0,$0.00,26,2206,31,1439,657,11,68,,,,,,,,1577,4,178,1,12,0,2,2206,0,2,0,0,0,0,2,7,12,0,0,0,12,,,
213,STARR,4840,6755,208,188,92,101,6,0,0,400,368,7,627,386,337,189,438,35,20668,216,10.5,365,125,34.2%,276,60,,,132,6.4,58,123,103,102,0,60,4,2,0,54,102,1073298,0,1,0,9,"$5,304.68",123,18,"$6,150.33",395,20668,5,762,19853,5,43,,,,,,,,15916,38,2244,3,36,2,8,20668,0,6,0,0,0,0,6,32,136,0,0,0,136,,,
214,STEPHENS,840,1814,136,104,86,61,1,1,0,136,111,1,150,122,88,27,123,2,2280,25,11.0,87,14,16.1%,43,8,,,8,3.5,2,8,8,2,0,2,0,0,0,0,8,162608,0,1,0,0,$0.00,8,1,$27.00,52,2280,36,1433,761,12,38,,,,,,,,1757,1,152,1,12,2,3,2280,0,5,0,0,0,0,5,15,10,0,1,0,11,,,
215,STERLING,90,206,2,3,1,0,0,0,0,7,7,0,10,7,7,0,10,0,275,3,10.9,4,1,25.0%,0,0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0.00,0,0,$0.00,1,275,3,156,102,6,8,,,,,,,,218,0,0,1,12,0,0,275,0,1,0,0,0,0,1,3,3,0,0,0,3,,,
216,STONEWALL,130,369,12,12,7,10,0,0,0,12,12,0,12,8,8,2,10,0,325,4,12.3,8,2,25.0%,3,0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"$3,750.00",0,0,$0.00,7,325,11,225,75,0,14,,,,,,,,253,0,0,1,12,2,1,325,0,2,0,0,0,0,2,6,3,0,0,0,3,,,
217,SUTTON,350,656,19,21,20,19,0,0,0,29,25,0,21,14,11,8,13,2,1109,7,6.3,19,7,36.8%,16,6,,,6,5.4,3,6,4,6,0,3,2,0,0,1,4,39077,1,5,0,1,$400.00,6,0,$0.00,17,1109,0,322,780,0,7,,,,,,,,872,2,63,1,12,1,1,1109,0,6,0,0,0,0,6,21,5,0,0,0,5,,,
218,SWISHER,550,1369,39,33,24,20,0,0,0,72,60,1,112,70,54,30,82,0,2026,34,16.8,58,16,27.6%,27,6,,,24,11.8,0,24,10,18,0,0,0,1,3,14,10,190678,0,1,0,0,$0.00,24,2,$168.00,30,2026,122,754,1096,12,42,,,,,,,,1616,2,200,0,0,3,1,2026,0,7,0,0,0,0,7,19,6,0,0,0,6,,,
219,TARRANT,100000,173925,5461,4330,2795,2456,316,280,65,18932,16876,156,21673,15368,11626,3154,18519,662,517952,5598,10.8,13089,3426,26.2%,3983,931,19,0,2136,4.1,791,2057,1742,1665,4,796,121,252,217,553,1709,19615634,10,55,31,540,"$474,721.72",2053,180,"$40,585.69",5408,517952,82976,197658,193706,1798,41814,,,,,,,,405129,669,74265,107,1282,533,692,517952,27,720,5,0,1,1,754,2314,1188,991,280,0,2459,,,
220,TAYLOR,11770,17963,1478,1220,941,786,489,481,80,1959,1685,19,1965,1206,1040,644,1321,96,32799,707,21.6,1176,408,34.7%,450,122,1,0,331,10.1,130,323,224,251,0,135,29,17,18,90,217,2362665,0,9,2,161,"$138,917.59",323,40,"$7,004.39",904,32799,2680,17169,11161,105,1684,,,,,,,,26133,52,5320,2,24,47,46,32799,7,72,4,0,0,0,83,324,388,0,119,0,507,,,
221,TERRELL,80,229,3,3,0,0,0,0,0,11,10,0,11,9,7,0,11,0,207,2,9.7,8,2,25.0%,0,0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0.00,0,0,$0.00,0,207,0,86,118,1,2,,,,,,,,166,0,0,0,0,0,0,207,0,0,0,0,0,0,0,0,1,0,0,0,1,,,
222,TERRY,910,1891,163,141,125,172,1,0,0,173,156,2,242,163,155,48,194,20,3317,73,22.0,132,41,31.1%,26,8,,,70,21.1,20,71,46,55,1,19,3,15,12,11,44,520962,0,1,2,1,$84.00,71,0,$0.00,110,3317,102,1085,2089,7,34,,,,,,,,2650,1,100,3,36,4,0,3317,0,4,0,0,0,0,4,6,39,0,0,0,39,,,
223,THROCKMORTON,140,423,10,8,7,16,0,0,0,12,11,0,16,12,6,1,15,0,345,4,11.6,9,3,33.3%,0,0,,,1,2.9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,$0.00,1,0,$0.00,3,345,3,279,57,0,6,,,,,,,,255,1,12,0,0,0,0,345,0,0,0,0,0,0,0,0,1,0,0,0,1,,,
224,TITUS,2470,3944,124,107,72,86,12,8,1,334,256,1,359,264,241,71,288,19,9999,89,8.9,228,56,24.6%,89,12,,,61,6.1,24,59,36,51,0,24,3,13,3,20,36,608125,0,1,0,12,"$5,007.43",59,17,"$2,091.91",101,9999,805,3305,5632,42,215,,,,,,,,7792,8,1156,0,0,7,2,9999,0,6,0,0,0,0,6,24,89,0,0,0,89,,,
225,TOM GREEN,8760,15943,1538,1289,1059,1035,910,889,98,1340,1188,15,1596,1122,997,434,1162,163,26599,427,16.1,954,242,25.4%,423,90,4,0,557,20.9,169,538,379,394,0,168,24,72,42,125,382,5229689,0,18,4,85,"$104,822.32",538,20,"$2,449.92",568,26599,838,11613,13224,82,842,,,,,,,,21116,52,5213,4,48,40,22,26599,1,43,3,0,0,0,47,228,300,0,62,0,362,,,
226,TRAVIS,66820,81272,4059,3088,1695,1670,1078,1001,120,11351,9491,92,13211,9720,8568,1344,11867,478,259016,3045,11.8,7991,1878,23.5%,1302,252,2,0,1584,6.1,647,1496,956,1326,0,662,37,169,173,466,934,11696686,1,23,18,574,"$1,022,684.35",1495,116,"$40,879.20",2410,259016,21793,92810,121752,542,22119,,,,,,,,209876,469,44082,49,585,277,172,259016,27,384,6,0,2,0,419,1317,668,1136,287,0,2091,,,
227,TRINITY,1650,3488,214,198,178,233,0,0,0,214,175,3,241,159,136,60,181,29,3008,78,25.9,134,37,27.6%,29,7,,,60,19.9,36,58,42,53,0,38,1,2,1,23,42,308525,1,0,1,18,"$4,703.29",58,11,$901.42,91,3008,329,2145,436,18,80,,,,,,,,2303,6,372,0,0,0,0,3008,0,6,0,0,0,0,6,22,12,0,16,0,28,,,
228,TYLER,2410,4401,144,146,113,135,0,0,0,259,212,2,296,235,211,27,269,3,4251,48,11.3,175,36,20.6%,47,12,,,21,4.9,7,17,9,15,0,7,0,2,1,7,9,78935,1,4,0,7,"$4,713.54",17,6,$434.00,35,4251,395,3480,232,26,118,,,,,,,,3248,7,383,2,24,1,0,4251,0,10,1,0,1,0,12,93,44,0,0,0,44,,,
229,UPSHUR,3700,6652,189,144,88,167,4,4,2,466,387,5,540,437,395,58,482,21,9830,91,9.3,327,62,19.0%,101,20,,,53,5.4,21,50,26,46,0,22,1,4,6,18,26,310514,0,0,3,15,"$9,836.44",50,10,$945.20,100,9830,831,7309,1203,52,435,,,,,,,,7507,5,462,3,36,10,0,9830,0,13,0,0,0,0,13,48,62,0,0,0,62,,,
230,UPTON,280,538,22,20,13,15,0,0,0,32,23,0,33,23,18,8,25,0,943,10,10.6,21,6,28.6%,6,0,,,9,9.5,2,7,3,8,0,2,0,0,0,6,3,23633,0,0,0,0,$0.00,7,0,$0.00,19,943,13,352,561,11,6,,,,,,,,717,1,20,0,0,0,0,943,0,2,0,0,0,0,2,6,1,0,0,0,1,,,
231,UVALDE,1900,4140,142,98,55,53,2,2,0,352,298,3,410,321,308,82,328,27,7636,80,10.5,233,47,20.2%,94,24,1,0,105,13.8,36,106,65,92,0,36,2,25,14,27,65,916879,0,1,0,3,"$6,158.14",106,1,$56.55,171,7636,34,1264,6231,22,85,,,,,,,,5941,14,899,2,24,6,2,7636,0,4,0,0,0,0,4,15,76,0,0,0,76,,,
232,VAL VERDE,3480,6442,291,182,142,121,5,4,0,290,245,4,380,315,298,55,325,23,14849,61,4.1,213,38,17.8%,44,8,,,46,3.1,21,46,35,30,0,23,2,1,3,4,39,464784,0,0,2,2,"$3,750.00",46,2,$265.50,91,14849,133,1574,12966,19,157,,,,,,,,11645,18,1414,3,36,21,3,14849,1,8,0,0,0,0,9,22,458,0,16,0,474,,,
233,VAN ZANDT,4600,10148,340,288,166,217,3,2,0,567,490,5,686,492,440,91,595,48,12663,170,13.4,408,100,24.5%,132,21,,,160,12.6,43,152,100,125,0,42,1,26,29,43,99,1219846,0,7,5,22,"$21,159.22",152,5,$910.00,111,12663,355,9798,2060,99,351,,,,,,,,9547,11,1157,4,48,14,4,12663,0,46,0,0,0,0,46,158,158,0,0,0,158,,,
234,VICTORIA,6660,12370,423,332,204,221,6,5,0,1118,919,9,1378,998,887,281,1097,81,23152,346,14.9,814,191,23.5%,304,60,1,0,227,9.8,86,231,172,158,0,85,6,21,19,44,169,2275806,2,9,0,30,"$11,322.35",231,10,"$1,098.90",276,23152,1435,7759,13237,42,679,,,,,,,,18136,38,3023,22,262,25,13,23152,3,39,2,0,1,0,45,271,509,0,28,0,537,,,
235,WALKER,4250,7357,181,154,112,125,4,3,2,423,324,1,431,329,273,92,339,44,11453,85,7.4,270,49,18.1%,75,12,,,92,8.0,50,95,64,84,0,55,2,8,3,31,61,828964,0,5,1,8,"$6,083.24",94,4,$204.78,135,11453,2523,5439,2929,33,529,,,,,,,,8885,22,1932,0,0,22,2,11453,0,11,2,0,1,0,14,317,11,0,26,0,37,,,
236,WALLER,2520,5071,138,110,72,82,8,8,2,344,311,2,334,281,228,48,286,11,11256,45,4.0,195,29,14.9%,64,7,1,0,84,7.5,23,77,55,72,0,25,7,3,11,28,52,530024,1,0,1,5,"$4,391.18",77,2,$143.66,121,11256,1968,3857,5153,27,251,,,,,,,,8746,13,862,0,0,9,9,11256,0,13,0,0,0,0,13,47,10,0,5,0,15,,,
