,County,Population With a Disability Ages 18-64,Population Ages 65+,Total APS Intakes,Total APS Completed Investigations,Validated APS Investigations,APS Clients Receiving Services,Intakes,Completed Investigation,Confirmed Investigations,Initial Intakes Alleging Abuse/Neglect,Child Abuse/ Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location,Alleged Victims  of Child Abuse/  Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/ Neglect per 1000 Children,Total CPS Completed Investi-gations,Confirmed CPS Investi-gations,Percent Investigations Confirmed,Total Children Served in Fiscal Year 2005,Subsequently Confirmed Victims in Fiscal Years 2005 - 2010,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in  Foster Care at Time*,Children in DFPS Legal Responsibility,Point of Prevalence**,Children Entering Subsitute- Care (Total Removals),Children in Substitute Care***,Children in Foster Care*,Unique Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized,DFPS Responsibility Terminated***,Paid Foster  Care Clients,Paid Foster  Expenditures*,Foster Homes,Foster/ Adoptive Homes*,Adoptive Homes**,Children Receiving Sub-Care Purchased Services,Expenditures For Sub-Care Purchased Services,Children in Substitute Care,Children Receiving In-home Purchased Services,Expenditures For InHome Purchased Services,Children Receiving In-home Services,Total,African American,Anglo,Hispanic,Native American,Other,Child Population Ages 0 - 13,Licensed Child Care Centers,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes,Child Pop- ulation Age 0-17,Child Placing Agen-cies (CPA),Homes Verified by CPAs,General Resi-dential Opera-tions,Inde-pent Foster and Group Homes,Resi- dential Treat-ment Centers,Mater-nity Homes,Total Resi-dential,Total Resi- dential Capacity,STAR,CYD,SYSN,YRP,TOTAL,CBCAP,FSP,TFTS
144,LEON,990,4157,76,61,42,42,1,1,0,163,143,1,214,154,115,37,177,0,3509,57,16.2,127,34,26.8%,21,9,,,28,8.0,4,26,13,21,0,4,0,1,11,5,13,206740,0,1,5,3,"$5,594.65",26,0,$0.00,87,3509,463,2485,543,2,16,2747,4,152,3,36,6,1,3509,0,8,0,0,0,0,8,13,26,0,0,0,26,,,
145,LIBERTY,5560,9225,349,284,194,220,5,4,3,1051,854,8,1005,794,679,176,829,67,20295,187,9.2,609,122,20.0%,158,32,,,193,9.5,89,194,103,171,0,96,1,13,22,56,99,1723141,2,8,0,126,"$50,460.22",194,4,"$1,964.00",214,20295,2256,13738,4132,25,144,15531,19,1413,1,12,14,6,20295,0,17,0,0,0,0,17,70,73,0,0,0,73,,,
146,LIMESTONE,1470,3934,119,72,42,36,841,776,42,237,223,4,318,264,250,38,280,10,5589,44,7.9,180,32,17.8%,40,15,,,45,8.1,13,45,32,31,0,14,5,7,2,6,31,467980,0,1,0,9,"$1,983.17",45,2,$40.00,57,5589,1231,2974,1361,5,18,4352,10,742,4,48,3,6,5589,0,6,0,0,0,0,6,32,23,0,0,0,23,,,
147,LIPSCOMB,190,628,9,9,7,14,0,0,0,27,26,0,34,25,23,4,30,4,724,7,9.7,19,3,15.8%,2,0,,,4,5.5,4,4,4,4,0,4,0,0,0,0,4,6822,0,0,0,1,$65.00,4,0,$0.00,0,724,2,427,286,4,5,534,0,0,0,0,0,0,724,0,1,0,0,0,0,1,9,7,0,0,0,7,,,
148,LIVE OAK,830,2224,59,47,31,29,0,0,0,160,148,0,153,117,97,50,103,12,2410,33,13.7,86,18,20.9%,81,24,,,18,7.5,16,18,13,18,0,16,0,0,0,5,13,73131,0,0,0,0,$0.00,18,3,$297.73,76,2410,7,1114,1287,0,2,1860,3,102,1,12,3,2,2410,0,4,0,0,0,0,4,18,98,0,110,0,208,,,
149,LLANO,1080,6160,113,86,57,51,3,3,0,230,214,0,248,165,155,51,197,18,2997,78,26.0,150,46,30.7%,66,9,,,49,16.3,26,52,42,43,0,26,0,13,3,6,41,488288,0,0,0,7,"$5,421.63",52,2,"$1,027.91",60,2997,11,2588,375,8,15,2314,7,368,0,0,5,0,2997,0,4,0,0,0,0,4,8,61,0,0,0,61,,,
150,LOVING,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,0.0,0,0,0.0%,0,0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0.00,0,0,$0.00,0,3,0,1,2,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,LUBBOCK,18230,29170,2817,2440,1986,2333,475,412,74,3670,3284,33,4729,3064,2625,1079,3650,177,67043,1523,22.7,2605,786,30.2%,394,96,1,0,874,13.0,233,857,652,641,0,277,20,113,157,151,649,9716642,5,54,9,333,"$352,789.42",857,134,"$17,991.57",1841,67043,6512,30621,28501,117,1292,54187,119,11253,38,456,91,42,67043,11,212,4,0,1,1,229,841,509,1171,106,0,1786,,,
152,LYNN,360,1060,38,31,22,62,1,1,1,71,59,0,78,67,61,5,73,0,1446,10,6.9,47,8,17.0%,3,3,,,4,2.8,0,4,4,0,0,0,0,0,0,0,4,95434,0,1,0,0,$0.00,4,0,$0.00,23,1446,54,629,756,3,4,1132,1,25,1,12,4,2,1446,0,1,0,0,0,0,1,2,15,0,0,0,15,,,
153,MADISON,980,2293,56,40,20,37,0,0,0,118,109,2,149,117,110,25,124,5,2999,31,10.3,85,18,21.2%,28,13,,,43,14.3,6,43,29,35,0,6,3,14,4,11,29,343863,0,2,2,4,$922.25,43,0,$0.00,37,2999,605,1782,606,1,5,2388,5,183,2,24,5,2,2999,0,4,0,0,0,0,4,4,65,0,1,0,66,,,
154,MARION,670,2462,132,106,98,115,0,0,0,129,118,0,166,137,108,27,139,9,2229,24,10.8,108,16,14.8%,14,1,,,27,12.1,8,26,14,23,0,14,0,4,2,12,14,147500,0,1,0,8,"$3,268.88",26,15,"$1,444.00",49,2229,796,1335,68,7,23,1732,2,131,2,24,3,1,2229,0,1,0,0,0,0,1,4,11,0,0,0,11,,,
155,MARTIN,320,753,19,15,13,7,0,0,0,44,35,0,42,25,20,15,27,2,1579,17,10.8,25,8,32.0%,6,0,,,2,1.3,2,2,1,2,0,2,0,0,0,0,1,474,0,0,0,0,$0.00,2,1,$474.42,15,1579,30,741,807,0,1,1240,2,86,0,0,1,0,1579,0,0,0,0,0,0,0,0,2,0,1,0,3,,,
156,MASON,220,1051,20,19,18,22,0,0,0,64,62,0,77,52,47,16,61,1,705,24,34.0,44,12,27.3%,0,0,,,6,8.5,3,6,2,5,0,3,0,1,1,1,2,27704,0,1,0,0,$0.00,6,0,$0.00,29,705,0,476,226,1,2,553,4,105,0,0,0,0,705,0,2,0,0,0,0,2,7,15,0,0,0,15,,,
157,MATAGORDA,2470,5138,111,98,66,90,3,4,1,334,271,2,373,305,222,92,281,5,10454,54,5.2,219,43,19.6%,42,6,1,0,38,3.6,14,36,17,31,0,14,2,1,3,12,15,183159,2,4,2,21,"$12,216.89",36,56,"$49,907.73",234,10454,1371,3886,4827,26,344,8152,12,1011,0,0,29,6,10454,0,9,0,0,0,0,9,32,121,0,0,0,121,,,
158,MAVERICK,3300,5442,181,146,86,59,0,0,0,316,284,2,332,258,239,44,288,6,18708,68,3.6,194,33,17.0%,21,2,,,45,2.4,9,45,18,25,0,9,0,1,8,7,17,405467,0,4,1,2,"$1,000.00",45,5,$451.88,76,18708,11,308,18089,185,115,14640,19,1835,0,0,21,4,18708,0,9,0,0,0,0,9,17,91,0,0,0,91,,,
159,MCCULLOCH,510,1799,102,92,81,116,0,0,0,101,98,1,150,101,92,29,121,7,2069,45,21.7,81,26,32.1%,23,1,,,25,12.1,12,25,15,22,0,12,0,1,6,3,15,180536,0,0,0,9,"$9,775.89",25,1,$79.07,42,2069,30,1232,804,0,3,1650,4,179,3,36,5,0,2069,0,21,0,0,0,0,21,105,22,0,0,0,22,,,
160,MCLENNAN,15650,26860,974,749,381,416,95,92,4,3098,2824,26,3835,3097,2829,360,3475,100,59339,638,10.8,2323,408,17.6%,461,75,3,0,390,6.6,119,385,266,276,0,117,12,66,68,49,265,3918560,2,20,5,109,"$118,632.37",385,16,"$4,698.55",716,59339,11334,26641,20602,81,681,47564,97,9213,26,312,59,30,59339,4,93,3,0,1,0,101,702,172,1387,0,0,1559,,,
161,MCMULLEN,50,240,1,1,1,1,0,0,0,8,8,0,9,6,5,3,6,0,122,2,16.4,6,1,16.7%,0,0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,$414.47,0,0,$0.00,6,122,4,68,50,0,0,92,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,MEDINA,2990,5974,189,163,57,35,8,2,0,529,457,4,623,420,361,215,408,53,11498,177,15.4,355,99,27.9%,48,12,1,1,201,17.5,77,190,120,163,0,85,4,24,38,30,117,1255192,0,5,3,44,"$21,712.49",190,17,"$2,399.66",278,11498,65,4494,6868,8,63,8634,11,805,2,24,11,10,11498,1,30,1,0,0,0,32,126,110,0,1,0,111,,,
163,MENARD,140,611,26,20,20,25,0,0,0,27,26,0,28,24,23,1,27,0,475,4,8.4,18,4,22.2%,0,0,,,5,10.5,0,5,5,4,0,0,0,4,0,0,5,131716,0,0,0,1,$186.27,5,0,$0.00,16,475,3,286,183,0,3,374,1,20,0,0,0,0,475,0,0,0,0,0,0,0,0,29,0,0,0,29,,,
164,MIDLAND,8430,14789,528,428,310,195,27,22,5,1326,1151,9,1457,1084,910,261,1196,61,35516,331,9.3,915,216,23.6%,102,31,1,0,219,6.2,103,212,133,185,0,108,4,17,23,52,131,1890879,0,13,1,126,"$124,927.83",212,35,"$5,274.06",355,35516,2825,15073,16986,66,566,28178,59,6187,12,141,47,5,35516,4,45,1,0,0,0,50,181,119,0,0,0,119,,,
165,MILAM,1590,4607,122,90,44,35,1,2,0,358,311,2,379,248,232,80,299,39,6870,124,18.0,211,61,28.9%,44,12,,,111,16.2,38,106,53,88,0,39,0,6,19,30,50,489414,2,3,6,6,"$6,341.75",106,5,"$3,814.13",156,6870,1004,3575,2263,3,25,5404,9,547,7,84,11,0,6870,0,14,1,0,0,0,15,80,50,0,0,0,50,,,
166,MILLS,330,1290,21,12,4,4,0,0,0,65,51,0,63,52,47,5,58,1,1168,10,8.6,34,5,14.7%,4,1,,,7,6.0,5,7,5,5,0,5,0,0,0,0,5,90480,0,1,0,3,$906.55,7,0,$0.00,5,1168,18,908,241,0,1,916,0,0,2,24,2,2,1168,0,13,0,0,1,0,14,166,17,0,0,0,17,,,
167,MITCHELL,700,1461,47,43,27,23,0,0,0,123,93,0,149,108,102,24,125,8,1761,37,21.0,81,18,22.2%,18,6,,,11,6.2,12,11,2,13,0,12,1,0,0,4,5,34942,0,1,0,2,$502.18,11,1,$36.48,40,1761,106,814,835,0,6,1343,1,93,0,0,1,1,1761,0,3,0,0,0,0,3,6,14,0,0,0,14,,,
168,MONTAGUE,1170,4691,231,202,160,121,2,2,1,295,263,4,326,203,171,125,201,50,4552,112,24.6,185,64,34.6%,42,15,1,0,81,17.8,52,74,50,67,0,52,1,1,0,14,50,464883,0,5,0,1,"$5,000.00",74,8,"$1,202.76",123,4552,8,4016,480,22,26,3616,7,238,3,36,1,5,4552,0,7,0,0,0,0,7,16,15,0,0,0,15,,,
169,MONTGOMERY,33580,45083,1340,1062,674,621,30,22,4,4219,3541,27,3799,2689,2141,1009,2790,342,115177,985,8.6,2275,604,26.5%,446,70,4,0,910,7.9,383,873,481,789,0,413,29,136,128,209,462,6035475,4,22,23,281,"$225,223.21",873,88,"$19,475.17",1711,115177,5327,80694,27274,201,1681,83080,149,17452,20,237,64,44,115177,7,165,4,0,0,0,176,559,787,0,10,0,797,,,
170,MOORE,1360,2336,56,55,39,32,3,2,1,226,212,2,296,208,197,43,253,9,5994,73,12.2,179,50,27.9%,26,5,1,0,18,3.0,12,18,17,14,0,12,0,0,0,2,17,186027,0,0,1,1,"$1,562.50",18,0,$0.00,120,5994,17,2363,3556,8,50,4594,5,303,0,0,7,1,5994,0,1,0,0,0,0,1,0,11,0,0,0,11,,,
171,MORRIS,830,2648,90,72,52,61,0,0,0,172,147,0,204,127,103,53,151,20,3069,71,23.1,117,39,33.3%,5,0,1,0,47,15.3,20,41,16,42,0,22,2,0,3,29,16,158256,0,1,1,17,"$10,619.68",41,1,$113.10,71,3069,880,1960,206,6,17,2396,4,160,3,36,9,2,3069,0,4,0,0,0,0,4,13,13,0,0,0,13,,,
172,MOTLEY,80,407,22,21,19,10,0,0,0,9,9,0,9,9,9,0,9,1,260,0,0.0,6,0,0.0%,0,0,,,2,7.7,1,2,2,1,0,1,0,0,0,0,3,56123,0,0,0,0,$0.00,2,0,$0.00,0,260,5,206,48,0,1,189,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,3,0,0,0,3,,,
173,NACOGDOCHES,4360,8327,266,217,204,203,2,2,0,635,512,6,796,490,414,166,630,67,14914,278,18.6,473,165,34.9%,86,16,,,180,12.1,77,176,142,165,0,76,14,26,17,56,141,1477386,0,9,1,33,"$27,896.37",176,31,"$9,345.41",225,14914,2996,8036,3673,18,191,11476,16,2020,2,24,9,5,14914,0,25,0,0,1,0,26,120,119,0,31,0,150,,,
174,NAVARRO,3320,7131,273,205,147,123,29,26,2,552,507,6,533,432,323,71,462,15,13232,92,7.0,317,53,16.7%,74,20,,,120,9.1,24,117,104,83,0,24,3,21,25,22,106,1606185,0,0,3,109,"$95,816.17",117,8,"$4,481.34",142,13232,2291,6222,4577,18,124,10179,16,1366,3,36,17,13,13232,2,57,0,0,2,0,61,294,49,0,40,0,89,,,
175,NEWTON,960,2563,82,71,56,61,0,0,0,161,143,0,174,140,111,20,154,5,3266,34,10.4,109,18,16.5%,16,2,,,17,5.2,5,17,9,15,0,5,1,2,6,4,8,196054,0,2,0,2,$360.00,17,3,$160.00,42,3266,1007,2125,100,9,25,2464,5,167,0,0,1,0,3266,0,5,0,0,0,0,5,20,16,0,0,0,16,,,
176,NOLAN,900,2371,155,133,97,79,5,6,3,307,257,3,365,251,231,77,288,6,3608,107,29.7,194,57,29.4%,40,16,,,25,6.9,11,26,22,16,0,11,0,0,0,8,23,294562,0,2,0,0,$0.00,26,4,$136.44,105,3608,219,1894,1483,0,12,2860,10,620,1,12,6,1,3608,0,5,0,0,0,0,5,15,54,0,0,0,54,,,
177,NUECES,21540,33639,2108,1666,1306,1727,548,509,57,4841,4551,45,6057,4596,3950,1362,4695,211,87455,1307,14.9,3501,758,21.7%,1882,419,4,0,810,9.3,282,789,577,631,0,292,51,85,73,199,556,6542309,2,12,6,318,"$330,467.87",789,236,"$51,045.85",2534,87455,4230,20047,61610,97,1471,70698,150,13291,39,467,93,56,87455,9,136,2,0,0,1,148,652,961,2158,131,72,3322,,,
178,OCHILTREE,630,1166,19,15,10,12,0,0,0,91,86,0,127,108,104,8,119,1,2892,19,6.6,70,9,12.9%,8,2,,,9,3.1,1,11,9,4,0,1,0,0,0,3,9,203951,0,0,0,1,$200.00,11,0,$0.00,18,2892,3,1438,1429,8,14,2310,5,335,0,0,2,0,2892,0,1,0,0,0,0,1,2,11,0,13,0,24,,,
179,OLDHAM,160,387,3,2,2,4,0,0,0,22,14,0,19,17,16,2,17,0,480,2,4.2,11,1,9.1%,5,0,,,2,4.2,0,2,2,1,0,0,0,0,1,0,1,14385,0,1,0,1,"$4,000.00",2,0,$0.00,0,480,13,405,59,1,2,378,2,95,0,0,0,0,480,0,1,1,0,0,0,2,440,2,0,0,0,2,,,
180,ORANGE,5490,12414,613,437,267,198,7,7,1,1209,1115,11,1564,1220,954,139,1425,46,20774,312,15.0,982,195,19.9%,103,27,2,0,128,6.2,50,125,103,103,0,50,5,12,7,39,100,1160234,3,15,5,37,"$28,207.75",125,8,"$1,389.73",263,20774,2650,16539,1220,62,303,15552,26,2308,7,84,8,9,20774,0,40,0,0,0,0,40,141,75,0,0,0,75,,,
181,PALO PINTO,1850,5048,158,127,63,141,0,0,0,459,425,1,527,352,270,143,384,14,7172,160,22.3,298,90,30.2%,92,28,,,69,9.6,25,69,52,53,0,25,1,9,12,9,52,612723,0,2,0,40,"$28,829.85",69,4,$491.14,236,7172,222,4926,1951,12,61,5625,4,395,1,12,17,9,7172,0,6,0,0,0,0,6,21,24,0,0,0,24,,,
182,PANOLA,1530,4193,121,99,64,84,1,1,0,250,218,2,308,227,208,27,281,18,5522,78,14.1,199,59,29.6%,16,9,,,28,5.1,13,27,23,23,0,15,1,2,0,7,23,388705,0,1,1,14,"$10,806.91",27,4,$912.70,39,5522,1255,3886,349,6,26,4312,7,524,3,36,9,1,5522,0,4,0,0,0,0,4,12,91,0,0,0,91,,,
183,PARKER,8230,13836,310,242,121,161,6,6,0,1379,1259,11,1497,1264,1136,158,1339,21,27112,205,7.6,900,132,14.7%,112,24,,,76,2.8,27,74,64,61,0,27,1,17,11,13,61,837281,0,4,4,41,"$53,258.50",74,11,"$6,312.67",316,27112,343,22853,3659,75,182,19313,40,3852,0,0,14,12,27112,0,50,1,0,0,0,51,214,30,0,0,1,31,,,
184,PARMER,640,1383,25,19,17,30,0,0,0,84,78,0,83,77,72,5,78,2,2836,6,2.1,55,4,7.3%,6,3,,,21,7.4,2,14,12,17,0,2,1,4,0,10,12,208434,1,0,0,3,"$5,132.00",14,0,$0.00,21,2836,15,1068,1747,0,6,2206,1,38,0,0,4,0,2836,0,4,0,0,0,0,4,15,18,0,0,0,18,,,
185,PECOS,1200,2063,77,71,52,66,0,0,0,182,155,2,177,111,85,40,137,13,4477,59,13.2,99,33,33.3%,30,8,,,48,10.7,20,46,31,37,0,20,3,2,1,17,31,293699,0,1,0,13,"$11,855.73",46,7,"$1,245.94",62,4477,39,1098,3327,0,13,3520,4,319,2,24,5,1,4477,0,1,0,0,0,0,1,2,28,0,0,0,28,,,
186,POLK,3050,11774,485,408,297,275,1,1,1,635,552,6,685,512,439,112,573,57,9397,162,17.2,409,98,24.0%,94,18,4,0,129,13.7,66,125,94,113,0,66,1,16,16,38,88,945028,0,5,3,40,"$33,373.70",125,24,"$5,011.00",138,9397,1309,6192,1588,128,180,7273,8,814,2,24,6,3,9397,0,18,0,0,0,0,18,75,57,0,9,0,66,,,
187,POTTER,8190,13234,848,744,574,704,21,19,6,2362,2172,27,2978,2013,1633,677,2301,56,35980,884,24.6,1708,499,29.2%,306,83,4,0,284,7.9,79,286,248,178,0,84,17,30,27,40,241,4102598,0,22,2,297,"$244,635.59",286,240,"$35,657.66",1188,35980,3707,14836,16300,95,1042,29147,46,4221,0,0,69,37,35980,7,68,2,0,0,0,77,276,220,935,14,0,1169,,,
188,PRESIDIO,510,1187,41,32,23,34,1,1,0,42,32,0,52,36,30,10,42,5,2710,15,5.5,33,9,27.3%,2,0,,,7,2.6,4,7,6,7,0,4,1,0,0,3,6,38634,0,0,0,0,$0.00,7,0,$0.00,13,2710,3,174,2533,0,0,2205,1,17,0,0,5,1,2710,0,0,0,0,0,0,0,0,34,0,0,0,34,,,
189,RAINS,700,2360,59,51,32,35,0,0,0,97,84,0,106,71,61,18,88,8,2057,34,16.5,63,21,33.3%,20,0,,,24,11.7,5,18,11,21,0,10,4,3,0,13,10,176115,0,1,1,13,"$5,738.62",18,4,$380.00,34,2057,47,1779,209,4,18,1538,2,68,0,0,1,1,2057,0,4,0,0,0,0,4,12,27,0,0,0,27,,,
190,RANDALL,8440,15146,425,347,241,263,90,68,19,1247,1150,4,1398,952,799,299,1099,113,25723,412,16.0,876,240,27.4%,188,34,,,408,15.9,130,368,271,317,0,152,19,39,39,116,269,4001343,1,25,8,112,"$67,331.43",368,31,"$5,463.94",511,25723,664,19069,5378,92,520,19174,47,4720,1,12,66,50,25723,3,91,3,0,0,0,97,420,78,0,11,0,89,,,
191,REAGAN,200,484,15,11,8,2,0,0,0,39,35,0,50,35,32,14,36,3,777,14,18.0,34,7,20.6%,0,0,,,5,6.4,3,5,4,5,0,3,0,1,0,1,4,48039,0,0,0,0,$0.00,5,0,$0.00,15,777,25,282,469,0,1,623,1,60,0,0,1,0,777,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0
192,REAL,180,1039,25,15,7,5,0,0,0,53,46,0,58,40,38,15,43,7,611,17,27.8,36,10,27.8%,0,0,,,10,16.4,7,10,11,8,0,7,0,0,0,1,11,166724,0,0,0,3,"$5,500.00",10,3,$482.40,23,611,3,431,174,0,3,445,4,155,0,0,2,0,611,0,1,0,0,0,0,1,3,1,0,0,0,1,,,
193,RED RIVER,880,2951,97,73,59,63,0,0,0,172,145,1,216,155,122,42,174,10,3169,54,17.0,128,35,27.3%,13,2,,,35,11.0,17,34,17,28,0,17,0,1,4,8,17,212526,0,3,1,7,"$5,199.15",34,10,"$1,006.41",60,3169,718,2135,308,2,6,2445,2,142,4,48,12,1,3169,0,4,0,0,0,0,4,12,14,0,0,0,14,,,
194,REEVES,690,1716,105,108,102,86,0,0,0,127,108,0,113,64,52,28,85,11,2845,44,15.5,69,25,36.2%,11,3,,,25,8.8,12,25,18,22,0,13,0,0,2,8,20,228680,0,1,0,15,"$17,041.29",25,3,"$1,324.58",45,2845,43,337,2457,0,8,2265,3,179,3,36,2,0,2845,0,1,0,0,0,0,1,3,16,0,0,0,16,,,
195,REFUGIO,430,1353,38,30,21,17,0,0,0,57,49,0,57,36,35,23,34,2,1721,21,12.2,35,13,37.1%,47,10,,,2,1.2,0,2,2,0,0,0,0,0,0,0,2,36567,0,1,0,1,$210.00,2,4,"$1,818.61",35,1721,140,613,947,4,17,1388,2,79,0,0,6,1,1721,0,1,0,0,0,0,1,5,36,0,0,0,36,,,
196,ROBERTS,60,210,4,2,2,2,0,0,0,1,1,0,2,0,0,1,1,0,175,2,11.4,2,2,100.0%,0,0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0.00,0,0,$0.00,2,175,0,167,8,0,0,144,0,0,0,0,1,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,ROBERTSON,1030,2751,47,49,33,27,0,0,0,177,162,1,240,204,177,22,218,5,4462,36,8.1,136,21,15.4%,37,3,,,23,5.2,6,24,13,17,0,6,0,6,7,2,12,158805,0,1,3,6,"$5,503.00",24,0,$0.00,30,4462,1312,2068,1058,5,19,3480,4,336,3,36,4,1,4462,0,5,0,0,0,0,5,4,89,0,0,0,89,,,
198,ROCKWALL,6070,8338,123,95,73,79,4,3,0,466,410,1,451,379,261,74,377,7,19750,61,3.1,282,45,16.0%,19,4,,,32,1.6,8,33,21,17,0,8,0,1,0,9,20,303201,0,8,1,33,"$26,219.15",33,1,$494.50,98,19750,789,14172,4438,49,302,14446,19,2780,6,72,15,5,19750,0,26,0,0,0,0,26,70,8,0,29,2,39,,,
199,RUNNELS,710,2160,108,101,80,52,1,0,0,146,117,1,174,89,75,81,93,13,2921,80,27.4,92,36,39.1%,20,9,,,42,14.4,22,38,25,37,0,25,0,6,1,13,26,403973,1,1,0,2,$146.52,38,1,$279.64,82,2921,28,1509,1368,2,14,2327,7,232,3,36,5,1,2921,0,3,0,0,0,0,3,8,31,0,0,0,31,,,
200,RUSK,3290,7773,203,175,112,128,0,0,0,546,488,4,664,470,430,73,591,20,11281,162,14.4,403,102,25.3%,61,5,1,0,93,8.2,38,83,48,85,0,42,8,3,7,33,47,641132,0,5,4,36,"$35,738.54",83,24,"$4,932.51",148,11281,2298,6641,2273,9,60,8812,11,831,6,72,11,3,11281,0,24,0,0,0,0,24,80,82,0,58,0,140,,,
201,SABINE,590,3211,101,80,66,65,2,2,0,115,105,2,160,116,100,28,132,14,2045,40,19.6,95,19,20.0%,11,2,,,17,8.3,14,17,16,15,0,14,0,0,1,1,15,117519,0,0,0,1,$765.00,17,2,$122.00,19,2045,243,1710,87,1,4,1595,2,180,0,0,1,0,2045,0,0,0,0,0,0,0,0,10,0,0,0,10,,,
202,SAN AUGUSTINE,560,2196,108,80,68,66,8,7,1,68,61,0,71,52,45,14,57,8,2157,17,7.9,52,12,23.1%,6,0,,,6,2.8,10,6,6,6,0,6,0,0,0,6,5,31974,0,2,0,4,"$1,257.75",6,0,$0.00,16,2157,923,1100,128,0,6,1723,5,259,0,0,1,0,2157,0,11,0,0,0,0,11,53,54,0,14,0,68,,,
203,SAN JACINTO,1770,5496,226,185,149,110,0,0,0,413,368,2,501,387,328,70,431,19,6005,103,17.2,304,60,19.7%,63,14,,,58,9.7,18,56,54,38,0,18,6,5,2,8,52,946213,2,0,1,21,"$17,909.92",56,14,"$1,691.86",99,6005,1053,4486,421,6,39,4443,2,137,0,0,5,1,6005,0,5,0,0,0,0,5,17,26,0,0,0,26,,,
204,SAN PATRICIO,4470,7543,341,288,199,167,6,7,5,891,814,11,1142,837,707,329,813,44,21302,286,13.4,619,147,23.7%,322,78,1,0,96,4.5,53,93,83,78,0,55,8,12,2,17,78,1006565,0,2,0,35,"$19,033.23",93,66,"$19,321.73",626,21302,641,7274,13165,14,208,16659,30,2073,3,36,21,1,21302,0,20,2,0,1,0,23,207,374,0,30,1,405,,,
205,SAN SABA,400,1258,29,19,16,29,0,0,0,71,66,0,79,58,56,20,59,1,1362,19,14.0,45,12,26.7%,19,1,,,15,11.0,5,16,10,9,0,5,0,0,1,3,9,262129,0,0,1,4,"$1,086.95",16,2,$226.20,43,1362,3,901,456,1,1,1078,1,31,1,12,1,3,1362,1,11,1,0,0,0,13,121,7,0,0,0,7,,,
206,SCHLEICHER,200,590,9,8,6,14,0,0,0,25,21,0,41,41,41,0,41,0,756,0,0.0,17,0,0.0%,1,0,,,1,1.3,0,1,1,1,0,0,0,0,1,0,1,952,0,1,0,2,"$1,112.06",1,0,$0.00,7,756,3,268,481,0,4,601,1,20,1,12,0,0,756,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0
207,SCURRY,1120,2540,108,92,64,60,0,0,0,217,177,2,255,174,165,36,219,13,4105,68,16.6,130,33,25.4%,37,4,1,0,27,6.6,14,27,24,23,0,14,2,1,5,1,19,314125,0,3,0,6,"$1,174.70",27,2,$273.69,81,4105,151,2184,1759,1,10,3270,4,353,1,12,3,2,4105,0,9,0,0,0,0,9,26,86,0,0,0,86,,,
208,SHACKELFORD,210,655,36,28,23,16,0,0,0,29,26,0,26,24,16,3,23,0,816,2,2.5,16,1,6.3%,6,6,,,1,1.2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,$0.00,1,0,$0.00,11,816,3,716,97,0,0,634,1,51,0,0,2,1,816,0,3,0,0,0,0,3,12,3,0,0,0,3,,,
209,SHELBY,1630,4441,203,180,157,129,0,0,0,310,251,1,353,283,240,50,303,28,6825,63,9.2,216,41,19.0%,39,8,1,0,72,10.5,30,68,51,58,0,30,1,5,7,21,49,525625,1,3,2,37,"$85,992.94",68,7,"$1,421.19",53,6825,1661,3658,1483,4,19,5373,4,272,0,0,2,2,6825,1,32,0,0,0,0,33,163,78,0,1,0,79,,,
210,SHERMAN,220,537,9,6,4,6,0,0,0,25,20,0,25,17,17,8,17,4,796,8,10.1,11,2,18.2%,1,0,,,8,10.1,4,6,6,8,0,4,1,0,0,7,6,77519,0,1,0,0,$0.00,6,0,$0.00,9,796,1,505,285,2,3,584,1,51,0,0,0,1,796,0,1,0,0,0,0,1,3,12,0,2,0,14,,,
