,County,Region,Population With a Disablilty Ages 18-64,Population  Ages 65 Plus,Total APS  Intakes,Total APS  Completed Investigations,Validated APS  Investigations,Closed Service Delivery Stages,Intakes,Completed Investigations,Confirmed Investigations,Total,African American,Anglo,Hispanic,Native American,Other **,Initial Intakes Alleging Abuse/Neglect,Child Abuse/Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location,Total Completed Investigations,Total Confirmed Investigations,Percent Confirmed Investigations,Unconfirmed Investigations - Ruled Out,Unconfirmed Investigations - Unable To Determine,Unconfirmed Investigations - Unable To Complete,Total Unconfirmed,Percent Unconfirmed,Not Open To Services,Family Preservation,Family Subsitute Care*,Alleged Victims of Child Abuse/ Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/Neglect per 1000 Children,Total CPS Completed Investigations,Confirmed CPS Investigations,Percent Investigations Confirmed,Other**,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in Foster Care at Time*,Number of Families,Number of Children,Children* Removed From Home,Percent of Children Removed,Total Children Served in Fiscal Year 2009,Subsequently Confirmed Victims in Fiscal Years 2009 - 2014,Children in DFPS Legal Responsibility,Point Prevalence**,Children Entering Subsitute Care (Total Removals),Children in Substitute Care***: Relative ****,Children in Substitute Care***: Non-Relative,Children in Foster Care*,Other***,Family Reunification,Custody Given to Relative PCA,Custody Given to Relative Non-PCA,Non-Relative Adoption,Relative Adoption,Children Emancipated,Other,Relative With PCA,Relative Without PCA,Adoption by Relative,Adoption by Non-Relavive,Long Term Care - Emancipaion,Long Term Care - Other,Unique Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized****,DFPS Custody Terminated***,Foster Homes*,Foster/ Adoptive Homes**,Adoptive Homes***,Paid Foster  Care Clients,Foster Care  Expenditures*,Children Receiving Sub-Care Purchased Services,Expenditures For Sub-Care Purchased Services,Children in Substitute Care,Children Receiving In-Home Purchased Services,Expenditures For In-Home Purchased Services,Children Receiving  In-Home Services,Child PopulationAges 0 - 13,Licensed Child Care Centers*,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes,Child Population Age 0-17,Child Placing  Agencies (CPA),Homes  Verified by CPAs,General Residential Operations,Independent Foster and Group Homes,Residential Treatment Centers,Total Residential,Total Residential Capacity,STAR*,CYD**,SYSN***,TOTAL,CBCAP*,TFTS**,CBFS***
133,KIMBLE,009,462,1267,26,25,19,24,0,0,0,910,3,542,361,0,4,54,46,0,38,7,18.4%,26,4,1,31,81.6%,,,,54,44,38,6,48,4,910,7,7.7,38,7,18.4%,,,,5,6,2,33.3%,17,2,23,25.3,4,8,14,21,,,,,,,,,,,,,,,12,0,4,0,3,2,3,0,0,1,21,359916,2,"$3,011.50",22,0,$0.00,15,676,2,100,0,0,3,0,910,0,2,0,0,0,2,6,54,0,0,54,,,
134,KING,001,39,46,0,0,0,0,0,0,0,57,0,49,8,0,0,2,2,0,1,1,100.0%,0,0,0,0,0.0%,,,,2,0,0,0,2,0,57,2,35.1,1,1,100.0%,,,,0,0,0,0.0%,0,0,0,0.0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,$0.00,0,0,$0.00,0,36,0,0,0,0,0,0,57,0,0,0,0,0,0,0,7,0,0,7,,,
135,KINNEY,008,336,978,15,9,3,6,0,0,0,681,4,176,491,1,9,27,24,0,21,0,0.0%,19,1,1,21,100.0%,,,,28,28,23,2,26,0,681,0,0.0,21,0,0.0%,,,,0,0,0,0.0%,1,0,5,7.3,0,0,5,3,,,,,,,,,,,,,,,5,0,0,0,0,2,3,0,0,0,3,20005,0,$0.00,5,0,$0.00,0,508,0,0,0,0,0,0,681,0,0,0,0,0,0,0,7,0,0,7,,,
136,KLEBERG,011,2487,4210,185,170,115,109,8,7,0,8565,244,1292,6814,7,208,346,291,5,241,71,29.5%,151,11,8,170,70.5%,,,,431,300,262,93,338,23,8565,120,14.0,241,71,29.5%,,,,63,179,12,6.7%,267,64,96,11.2,34,41,51,66,,,,,,,,,,,,,,,79,0,37,3,5,19,16,0,1,0,65,933854,52,"$55,102.07",92,17,"$2,996.42",181,6823,13,743,2,24,5,2,8565,0,11,0,0,0,11,46,171,0,25,196,,,
137,KNOX,002,353,798,28,19,18,17,0,0,0,931,58,446,404,4,19,33,29,0,19,7,36.8%,7,5,0,12,63.2%,,,,32,17,8,10,22,3,931,14,15.0,19,7,36.8%,,,,3,9,0,0.0%,28,14,9,9.7,3,0,9,9,,,,,,,,,,,,,,,5,0,3,0,0,0,2,0,0,0,9,184865,2,$450.00,9,0,$0.00,9,731,3,94,0,0,0,1,931,0,1,0,0,0,1,6,12,0,0,12,,,
138,LAMAR,004,5064,9208,365,257,165,113,18,14,4,12229,1903,7860,1677,136,653,715,605,5,479,124,25.9%,315,31,9,355,74.1%,,,,789,568,505,112,677,67,12229,195,15.9,479,124,25.9%,,1,0,51,152,16,10.5%,118,30,138,11.3,79,75,55,86,,,,,,,,,,,,,,,125,0,79,0,2,4,52,0,5,3,86,709197,66,"$36,113.90",130,72,"$6,786.15",195,9396,13,1353,8,94,6,4,12229,0,15,0,0,0,15,34,194,0,1,195,,,
139,LAMB,001,800,2297,135,107,100,99,0,0,0,4020,175,1080,2707,2,56,151,143,1,96,30,31.3%,60,2,4,66,68.8%,,,,168,107,100,44,124,25,4020,60,14.9,96,30,31.3%,,,,20,61,9,14.8%,51,10,54,13.4,31,31,23,31,,,,,,,,,,,,,,,44,0,31,0,3,7,11,0,2,0,30,238241,8,"$8,375.28",54,4,$193.95,71,3124,2,94,0,0,6,0,4020,0,9,0,0,0,9,28,3,0,0,3,,,
140,LAMPASAS,007,1703,3690,115,89,68,54,0,0,0,4923,91,3147,1397,30,258,269,243,1,181,47,26.0%,121,10,3,134,74.0%,,,,314,214,190,71,243,27,4923,92,18.7,181,47,26.0%,,1,0,25,73,8,11.0%,53,2,75,15.2,34,45,21,32,,,,,,,,,,,,,,,72,0,32,1,9,11,30,0,2,0,33,233767,14,"$35,525.00",66,0,$0.00,87,3724,4,306,4,48,0,5,4923,0,18,1,0,0,19,107,15,0,2,17,,,
141,LA SALLE,008,1121,1096,17,14,9,7,,,,,,,,,,73,60,0,62,16,25.8%,44,2,0,46,74.2%,,,,103,69,62,33,70,10,1562,32,20.5,62,16,25.8%,,,,10,30,0,0.0%,31,0,27,17.3,6,11,16,15,,,,,,,,,,,,,,,14,0,6,0,3,2,5,0,0,1,16,327309,3,"$1,100.00",27,0,$0.00,43,1182,2,99,0,0,1,0,1562,0,1,0,0,0,1,0,2,0,0,2,,,
142,LAVACA,008,1405,4444,65,60,28,16,0,0,0,4263,328,2619,1230,1,85,148,123,1,99,22,22.2%,63,13,1,77,77.8%,,,,142,109,93,23,119,4,4263,28,6.6,99,22,22.2%,,,,12,36,0,0.0%,31,9,30,7.0,3,11,15,18,,,,,,,,,,,,,,,21,0,3,4,9,2,4,0,4,1,16,279944,15,"$15,154.45",26,0,$0.00,42,3264,7,402,9,106,13,6,4263,0,7,0,0,0,7,28,37,0,0,37,,,
143,LEE,007,1175,3037,63,50,34,19,2,2,0,4076,328,2096,1519,3,130,166,126,1,116,28,24.1%,82,6,0,88,75.9%,,,,182,130,121,22,160,19,4076,46,11.3,116,28,24.1%,,,,13,31,2,6.5%,56,16,57,14.0,19,42,15,28,,,,,,,,,,,,,,,36,0,19,1,4,1,14,0,2,1,30,334336,10,"$12,489.45",57,2,$622.45,36,3044,7,576,2,24,4,0,4076,0,14,0,0,0,14,55,15,0,0,15,,,
144,LEON,007,1417,4233,51,49,34,25,0,0,0,3867,212,2602,982,5,66,157,134,2,119,29,24.4%,78,12,0,90,75.6%,,,,193,144,127,32,161,29,3867,48,12.4,119,29,24.4%,,,,8,24,0,0.0%,39,5,52,13.4,28,23,29,30,,,,,,,,,,,,,,,45,0,24,5,2,0,18,0,0,1,27,378363,3,"$7,480.52",52,0,$0.00,36,2947,3,126,2,24,4,0,3867,1,3,0,0,0,4,6,26,0,0,26,,,
145,LIBERTY,006,9721,10590,409,323,253,197,8,8,1,20300,1812,12043,5798,52,595,1029,854,8,693,203,29.3%,423,53,14,490,70.7%,,,,1121,782,662,269,852,98,20300,315,15.5,693,203,29.3%,,,,139,333,19,5.7%,175,25,273,13.4,94,155,114,164,,,,,,,,,,,,,,,200,0,94,4,15,13,99,0,3,3,157,2267257,264,"$166,491.27",269,44,"$12,931.23",375,15550,17,1558,2,24,4,4,20300,0,22,0,0,0,22,54,8,0,0,8,,,
146,LIMESTONE,007,2275,4377,135,110,69,30,712,665,47,5653,978,2610,1875,9,181,290,263,3,193,51,26.4%,136,5,1,142,73.6%,,,,318,230,221,50,268,25,5653,81,14.3,193,51,26.4%,,1,0,16,44,0,0.0%,30,3,50,8.8,26,38,15,29,,,,,,,,,,,,,,,43,0,23,2,9,7,10,0,1,2,27,388629,15,"$25,913.02",53,0,$0.00,53,4372,5,472,3,36,3,5,5653,0,7,0,0,0,7,14,25,0,0,25,,,
147,LIPSCOMB,001,185,553,9,9,8,8,0,0,0,878,4,447,402,7,18,15,11,0,12,0,0.0%,10,1,1,12,100.0%,,,,23,23,20,0,23,0,878,0,0.0,12,0,0.0%,,,,3,6,0,0.0%,5,4,2,2.3,0,1,1,1,,,,,,,,,,,,,,,2,0,0,0,1,1,0,0,1,0,1,8988,7,"$22,664.86",2,2,$54.00,4,670,0,0,0,0,2,1,878,0,1,0,0,0,1,2,2,0,0,2,,,
148,LIVE OAK,011,1115,2425,39,40,24,17,0,0,0,2218,18,1049,1121,5,25,130,117,0,74,28,37.8%,41,5,0,46,62.2%,,,,129,74,65,54,75,35,2218,48,21.6,74,28,37.8%,,,,18,65,8,12.3%,98,19,58,26.1,38,31,27,33,,,,,,,,,,,,,,,51,0,41,1,1,5,17,0,1,0,33,328823,8,"$5,490.00",58,5,"$1,121.35",74,1681,3,90,1,12,0,1,2218,0,7,0,0,0,7,14,56,0,0,56,,,
149,LLANO,007,1704,6557,96,84,58,48,3,3,1,3144,28,2448,576,12,80,227,200,0,186,53,28.5%,122,9,2,133,71.5%,,,,278,186,170,56,222,32,3144,82,26.1,186,53,28.5%,,,,21,58,4,6.9%,30,10,61,19.4,29,46,14,29,,,,,,,,,,,,,,,50,0,32,0,14,8,14,0,2,0,29,313765,21,"$16,564.70",60,3,$253.20,76,2398,8,420,0,0,3,0,3144,0,2,0,0,0,2,6,27,0,0,27,,,
150,LOVING,009,3,20,1,1,1,0,0,0,0,7,0,4,3,0,0,0,0,0,0,0,0.0%,0,0,0,0,0.0%,,,,0,0,0,0,0,0,7,0,0.0,0,0,0.0%,,,,0,0,0,0.0%,0,0,0,0.0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,$0.00,0,0,$0.00,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,,,
151,LUBBOCK,001,22239,33769,2890,2480,1933,1734,330,300,48,72975,5947,30557,33328,252,2891,3328,2970,32,2338,722,30.9%,1391,156,69,1616,69.1%,,,,3946,2541,2164,1041,2905,264,72975,1303,17.9,2338,722,30.9%,,,,616,1676,118,7.0%,931,214,920,12.6,306,382,526,633,,,,,,,,,,,,,,,695,0,312,20,115,133,170,1,28,7,627,8775632,724,"$1,053,485.88",908,376,"$39,569.35",1816,58193,113,11577,34,408,57,34,72975,13,218,4,0,1,236,791,374,998,134,1506,,,
152,LYNN,001,496,1056,63,49,34,30,0,0,0,1594,17,604,945,7,21,69,60,0,46,19,41.3%,25,2,0,27,58.7%,,,,88,51,48,24,64,1,1594,37,23.2,46,19,41.3%,,,,16,53,6,11.3%,13,1,15,9.4,7,6,8,7,,,,,,,,,,,,,,,15,0,7,0,2,2,5,0,2,0,7,66443,2,$799.58,14,0,$0.00,60,1204,2,103,1,12,2,2,1594,0,2,0,0,0,2,8,11,1,0,12,,,
153,MADISON,007,806,2189,42,36,25,20,5,5,0,3082,514,1621,818,6,123,122,114,1,88,15,17.0%,59,12,2,73,83.0%,,,,139,114,86,13,126,5,3082,22,7.1,88,15,17.0%,,,,8,19,5,26.3%,30,9,23,7.5,7,12,10,11,,,,,,,,,,,,,,,19,0,7,1,3,3,7,0,1,1,12,140657,15,"$15,596.09",22,2,$904.80,24,2335,7,276,1,12,2,2,3082,0,3,0,0,0,3,4,66,0,0,66,,,
154,MARION,004,1400,2730,120,102,69,52,0,0,0,1925,498,1206,124,8,89,132,119,0,93,20,21.5%,54,15,4,73,78.5%,,,,155,120,93,18,137,11,1925,34,17.7,93,20,21.5%,,,,14,41,0,0.0%,9,1,22,11.4,9,7,10,11,,,,,,,,,,,,,,,21,0,9,2,5,0,12,0,0,0,11,175857,5,$780.30,17,11,$759.63,31,1452,1,97,0,0,1,1,1925,0,1,0,0,0,1,4,14,0,0,14,,,
155,MARTIN,009,444,704,21,15,12,7,0,0,0,1449,29,642,759,2,17,33,26,0,21,5,23.8%,14,2,0,16,76.2%,,,,32,24,22,4,28,0,1449,8,5.5,21,5,23.8%,,,,2,6,0,0.0%,8,5,1,0.7,0,1,0,0,,,,,,,,,,,,,,,1,0,0,0,0,0,1,0,0,1,0,0,1,$75.00,1,0,$0.00,6,1124,1,37,0,0,2,1,1449,0,2,0,0,0,2,2,3,0,0,3,,,
156,MASON,009,283,1147,15,15,9,12,0,0,0,803,4,535,255,3,6,46,39,0,28,3,10.7%,24,0,1,25,89.3%,,,,46,41,39,1,45,1,803,5,6.2,28,3,10.7%,,,,1,2,0,0.0%,24,3,1,1.2,1,1,0,1,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,1,7669,1,"$3,000.00",1,0,$0.00,2,570,2,94,0,0,0,0,803,0,1,0,0,0,1,2,18,0,0,18,,,
157,MATAGORDA,006,3215,5964,151,117,102,92,11,7,0,9567,969,3058,5201,14,325,386,298,3,273,70,25.6%,172,20,11,203,74.4%,,,,452,327,273,107,345,14,9567,107,11.2,273,70,25.6%,,,,68,186,6,3.2%,54,5,56,5.9,20,34,23,43,,,,,,,,,,,,,,,48,0,25,10,11,0,15,0,3,0,42,405811,38,"$17,840.13",57,32,"$8,380.17",183,7372,9,865,4,48,12,1,9567,0,6,0,0,1,7,33,9,0,37,46,,,
158,MAVERICK,008,4498,6715,189,155,94,60,1,2,0,18645,19,399,17916,245,66,343,296,3,231,20,8.7%,203,8,0,211,91.3%,,,,372,343,329,31,341,8,18645,26,1.4,231,20,8.7%,,,,16,62,0,0.0%,16,2,28,1.5,8,10,19,22,,,,,,,,,,,,,,,17,0,8,5,4,0,2,0,1,0,25,401890,10,"$13,100.00",29,4,$764.41,69,14346,17,1706,1,12,4,5,18645,0,3,0,0,0,3,5,136,0,0,136,,,
159,MCCULLOCH,009,679,1904,87,84,73,59,0,0,0,1998,33,1086,853,0,26,122,112,3,88,23,26.1%,56,8,1,65,73.9%,,,,132,96,84,26,106,1,1998,33,16.5,88,23,26.1%,,,,18,43,1,2.3%,45,6,23,11.5,2,10,13,14,,,,,,,,,,,,,,,19,0,2,0,7,7,3,0,0,1,13,205502,10,"$16,290.00",23,0,$0.00,51,1507,3,220,2,24,3,0,1998,0,17,0,0,0,17,67,11,1,0,12,,,
160,MCLENNAN,007,16903,31941,1275,982,638,329,134,120,10,61080,9468,26489,22630,143,2350,2968,2624,26,2055,548,26.7%,1389,104,14,1507,73.3%,,,,3340,2337,2161,676,2664,273,61080,884,14.5,2055,548,26.7%,,3,0,276,750,37,4.9%,397,58,702,11.5,307,401,296,417,,,,,,,,,,,,,,,538,0,321,16,96,60,83,6,18,13,411,5805889,318,"$287,948.56",697,54,"$13,682.44",886,47738,101,10259,23,276,45,28,61080,3,99,3,0,1,106,671,440,921,17,1378,,,
161,MCMULLEN,011,106,213,3,3,2,2,0,0,0,121,2,55,64,0,0,9,8,0,9,5,55.6%,4,0,0,4,44.4%,,,,13,4,4,8,5,4,121,9,74.4,9,5,55.6%,,,,2,7,0,0.0%,0,0,4,33.1,4,4,0,1,,,,,,,,,,,,,,,4,0,4,0,0,0,0,0,0,0,1,1007,0,$0.00,4,0,$0.00,10,84,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,,,
162,MEDINA,008,4156,7801,145,114,52,35,0,1,0,12245,78,4399,7540,37,191,426,347,7,298,71,23.8%,201,26,0,227,76.2%,,,,498,361,320,172,326,60,12245,124,10.1,298,71,23.8%,,,,88,259,20,7.7%,209,50,197,16.1,68,104,79,105,,,,,,,,,,,,,,,169,0,66,3,57,21,60,0,2,6,104,1676570,77,"$64,942.63",183,14,$654.09,277,9142,15,864,0,0,3,7,12245,1,27,1,0,0,29,109,77,0,0,77,,,
163,MENARD,009,278,696,11,10,9,8,0,0,0,422,0,201,221,0,0,13,11,0,13,4,30.8%,6,3,0,9,69.2%,,,,18,11,7,2,16,0,422,7,16.6,13,4,30.8%,,,,3,6,0,0.0%,7,1,5,11.8,0,2,3,3,,,,,,,,,,,,,,,3,0,0,0,1,0,2,0,0,0,4,54887,8,"$5,240.00",5,0,$0.00,6,324,1,20,0,0,0,0,422,0,0,0,0,0,0,0,19,0,14,33,,,
164,MIDLAND,009,10379,16617,416,332,212,136,31,26,2,39433,2521,14801,20766,134,1211,1221,975,12,841,186,22.1%,596,36,23,655,77.9%,,,,1326,998,899,166,1160,38,39433,290,7.4,841,186,22.1%,,,,101,261,8,3.1%,217,44,187,4.7,45,80,97,115,,,,,,,,,,,,,,,122,0,48,3,28,23,35,0,0,2,115,1850266,228,"$239,144.76",177,72,"$8,972.59",308,31088,64,6489,11,129,34,11,39433,3,50,1,0,0,54,157,156,0,31,187,,,
165,MILAM,007,2941,4854,130,112,80,53,0,0,0,6366,616,3166,2455,7,122,290,237,1,197,63,32.0%,124,9,1,134,68.0%,,,,324,216,198,71,253,47,6366,95,14.9,197,63,32.0%,,,,26,68,4,5.9%,80,16,110,17.3,49,71,37,60,,,,,,,,,,,,,,,92,0,49,4,12,4,28,0,0,0,61,699118,25,"$31,576.56",108,10,"$1,653.82",85,4895,6,350,4,48,10,0,6366,0,3,1,0,0,4,60,146,0,0,146,,,
166,MILLS,007,237,1228,27,20,12,5,0,0,0,1153,19,842,276,0,16,48,43,0,41,7,17.1%,30,3,1,34,82.9%,,,,68,59,52,5,63,1,1153,9,7.8,41,7,17.1%,,,,3,7,0,0.0%,6,2,12,10.4,1,7,5,10,,,,,,,,,,,,,,,8,0,1,1,1,0,5,0,0,0,10,78470,8,"$4,433.50",12,0,$0.00,12,833,1,33,2,24,3,3,1153,0,9,0,0,1,10,151,3,0,0,3,,,
167,MITCHELL,002,1079,1374,60,53,33,22,0,0,0,1813,74,864,849,4,22,115,105,0,85,19,22.4%,61,1,4,66,77.6%,,,,152,114,108,35,117,0,1813,36,19.9,85,19,22.4%,,,,32,96,0,0.0%,22,8,6,3.3,0,1,5,5,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,5,116558,6,"$2,044.24",6,5,$159.00,96,1389,2,77,0,0,1,3,1813,0,0,0,0,0,0,0,40,0,0,40,,,
168,MONTAGUE,002,1681,4415,211,188,174,140,0,0,0,4611,18,3590,882,29,92,215,195,4,175,60,34.3%,101,13,1,115,65.7%,,,,306,198,169,61,245,18,4611,98,21.3,175,60,34.3%,,,,47,117,1,0.9%,72,22,64,13.9,18,27,29,41,,,,,,,,,,,,,,,52,0,16,2,7,3,29,0,1,1,45,623048,15,"$12,579.22",56,1,$27.00,150,3576,7,368,3,36,2,3,4611,0,5,0,0,0,5,10,0,0,0,0,,,
169,MONTGOMERY,006,30400,64073,1402,1137,825,629,47,44,1,139135,6414,80575,44978,477,6691,4114,3357,34,2448,365,14.9%,1761,261,61,2083,85.1%,,,,3767,3129,2621,573,3194,159,139135,567,4.1,2448,365,14.9%,,1,0,319,837,43,5.1%,931,158,668,4.8,200,330,315,424,,,,,,,,,,,,,,,533,0,204,39,85,69,200,1,14,7,417,7481404,740,"$672,868.82",645,117,"$22,664.59",942,105650,156,19516,19,224,52,22,139135,7,180,5,0,1,193,712,720,0,9,729,,,
170,MOORE,001,1303,2322,42,37,22,19,0,0,0,7286,64,1745,4680,24,773,225,207,3,162,29,17.9%,124,4,5,133,82.1%,,,,265,209,195,25,240,7,7286,54,7.4,162,29,17.9%,,,,21,58,0,0.0%,43,12,25,3.4,8,7,17,21,,,,,,,,,,,,,,,20,0,10,0,1,3,8,1,2,0,20,266254,4,$995.48,24,11,"$1,690.05",59,5775,4,269,0,0,5,3,7286,0,3,0,0,0,3,11,15,0,0,15,,,
171,MORRIS,004,1789,2750,93,74,58,34,0,0,0,3038,663,1722,512,10,131,150,133,0,139,20,14.4%,99,16,4,119,85.6%,,,,213,180,144,19,194,7,3038,28,9.2,139,20,14.4%,,,,13,40,2,5.0%,49,13,21,6.9,10,17,4,11,,,,,,,,,,,,,,,18,0,10,0,0,1,10,0,2,1,11,60451,18,"$9,350.34",21,16,"$3,528.80",47,2336,4,168,2,24,2,2,3038,0,6,0,0,0,6,19,14,0,0,14,,,
172,MOTLEY,001,99,363,7,8,6,2,0,0,0,244,2,174,65,2,1,7,6,0,4,1,25.0%,2,1,0,3,75.0%,,,,6,5,3,2,4,0,244,1,4.1,4,1,25.0%,,,,1,2,0,0.0%,3,0,2,8.2,0,0,2,1,,,,,,,,,,,,,,,2,0,0,0,0,1,1,0,0,0,1,54397,0,$0.00,2,1,$84.00,2,179,0,0,0,0,0,0,244,0,0,0,0,0,0,0,4,0,0,4,,,
173,NACOGDOCHES,005,5506,8652,299,251,212,191,2,2,0,17077,3224,8257,4910,57,629,581,455,5,346,72,20.8%,246,27,1,274,79.2%,,,,559,433,392,77,482,61,17077,112,6.6,346,72,20.8%,,2,0,26,75,11,14.7%,124,22,184,10.8,75,64,117,146,,,,,,,,,,,,,,,150,0,75,7,33,23,23,2,7,3,143,2001142,128,"$112,267.44",181,36,"$7,061.41",92,13559,15,2074,2,24,6,3,17077,1,42,0,0,0,43,136,123,0,15,138,,,
174,NAVARRO,003,4773,7975,276,215,166,141,48,39,9,13432,1660,5790,5388,27,567,524,474,6,382,75,19.6%,260,45,2,307,80.4%,,,,629,493,413,87,542,16,13432,113,8.4,382,75,19.6%,,1,0,44,135,5,3.7%,91,13,97,7.2,17,28,66,73,,,,,,,,,,,,,,,82,0,20,3,25,26,20,0,3,1,73,899498,141,"$118,277.27",94,12,"$4,045.67",151,10279,14,1333,3,36,9,9,13432,2,48,1,0,1,52,225,67,0,17,84,,,
175,NEWTON,005,1262,2666,114,83,51,56,1,0,0,3067,632,2166,146,20,103,109,94,0,73,12,16.4%,52,8,1,61,83.6%,,,,116,94,79,18,98,4,3067,21,6.8,73,12,16.4%,,,,6,16,1,6.3%,24,6,22,7.2,8,5,14,17,,,,,,,,,,,,,,,17,0,8,1,2,0,10,0,0,0,17,351875,11,"$13,654.74",19,3,$360.77,21,2311,4,222,0,0,0,0,3067,0,1,0,0,0,1,5,2,0,0,2,,,
176,NOLAN,002,1287,2790,170,142,108,55,3,3,1,4006,209,1797,1908,4,88,323,279,4,237,56,23.6%,157,14,10,181,76.4%,,,,394,291,251,95,299,5,4006,86,21.5,237,56,23.6%,,1,0,66,143,3,2.1%,116,48,46,11.5,9,19,23,31,,,,,,,,,,,,,,,30,0,9,0,2,0,24,0,3,0,31,389756,8,"$1,479.34",42,9,$733.15,150,3154,8,562,1,12,3,2,4006,0,5,0,0,0,5,11,70,0,0,70,,,
177,NUECES,011,34581,47121,2319,1809,1081,841,598,533,55,88260,2810,18297,64271,194,2688,4976,4405,45,3378,789,23.4%,2174,277,138,2589,76.6%,,,,5679,4162,3476,1273,4406,212,88260,1308,14.8,3378,789,23.4%,,2,0,784,2114,78,3.7%,2369,403,471,5.3,278,210,265,374,,,,,,,,,,,,,,,400,0,287,18,25,26,106,0,6,4,362,4125197,361,"$487,915.18",475,225,"$29,817.71",2144,68170,153,13288,38,450,62,50,88260,10,117,3,0,0,130,760,638,1293,91,2022,,,
178,OCHILTREE,001,508,1198,29,29,20,15,0,0,0,3525,8,1102,2372,15,28,112,97,0,70,16,22.9%,42,9,3,54,77.1%,,,,120,92,68,16,104,0,3525,26,7.4,70,16,22.9%,,,,13,24,1,4.2%,4,2,9,2.6,1,3,6,6,,,,,,,,,,,,,,,5,0,1,1,0,0,3,0,4,1,6,201765,5,"$2,384.70",9,5,$248.00,30,2799,4,306,0,0,4,0,3525,0,5,0,0,0,5,7,11,0,6,17,,,
179,OLDHAM,001,240,334,2,3,3,3,0,0,0,541,26,428,79,4,4,18,10,0,7,0,0.0%,7,0,0,7,100.0%,,,,11,11,11,0,11,0,541,0,0.0,7,0,0.0%,,,,1,4,1,25.0%,0,0,1,1.8,0,0,1,1,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,115454,1,$260.00,1,0,$0.00,0,362,1,51,0,0,0,0,541,0,0,1,0,0,1,437,7,0,0,7,,,
180,ORANGE,005,9112,12693,593,399,251,194,22,20,3,20768,2045,15740,2108,79,796,1266,1069,12,883,186,21.1%,592,87,18,697,78.9%,,,,1361,1050,885,158,1203,99,20768,291,14.0,883,186,21.1%,,2,0,59,139,18,12.9%,113,31,225,10.8,110,80,138,175,,,,,,,,,,,,,,,195,0,109,14,31,16,36,0,25,2,171,1727912,135,"$91,214.09",218,14,"$1,355.14",175,15837,24,2531,4,48,16,12,20768,0,44,0,0,0,44,159,40,0,0,40,,,
181,PALO PINTO,003,2429,5397,240,234,159,121,0,0,0,7172,179,4627,2195,23,148,493,440,6,315,122,38.7%,166,25,2,193,61.3%,,,,575,328,282,201,374,60,7172,224,31.2,315,122,38.7%,,,,101,253,33,13.0%,135,39,215,30.0,111,90,114,145,,,,,,,,,,,,,,,184,0,108,1,41,6,33,0,0,3,144,1595951,154,"$58,587.08",204,12,"$3,952.74",309,5459,6,619,1,12,10,7,7172,0,7,0,0,0,7,16,25,0,0,25,,,
182,PANOLA,004,2681,4196,92,76,52,44,0,0,0,5913,957,3812,971,18,155,255,230,2,183,63,34.4%,106,11,3,120,65.6%,,,,315,194,170,57,258,14,5913,115,19.4,183,63,34.4%,,1,0,26,77,4,5.2%,43,10,34,5.8,17,18,13,25,,,,,,,,,,,,,,,30,0,18,0,1,5,6,0,0,1,25,296226,16,"$18,118.01",31,21,"$1,967.15",86,4539,6,537,1,12,3,0,5913,0,3,0,0,0,3,8,13,0,0,13,,,
183,PARKER,003,9927,18434,393,329,255,197,1,1,0,32597,403,25021,6039,206,928,1147,1038,12,888,223,25.1%,566,82,17,665,74.9%,,,,1418,968,817,317,1101,99,32597,402,12.3,888,223,25.1%,,1,0,139,356,38,10.7%,273,63,283,8.7,141,157,115,185,,,,,,,,,,,,,,,239,0,140,11,35,4,54,0,2,0,183,1800603,175,"$86,749.15",272,33,"$4,589.65",412,24071,41,3783,1,12,16,10,32597,0,45,1,0,0,46,195,18,0,0,18,,,
184,PARMER,001,491,1356,16,18,13,11,0,0,0,3335,16,786,2520,1,12,39,34,0,35,13,37.1%,22,0,0,22,62.9%,,,,58,33,33,11,47,0,3335,23,6.9,35,13,37.1%,,,,6,14,0,0.0%,16,2,3,0.9,0,1,2,3,,,,,,,,,,,,,,,1,0,0,0,0,0,1,0,0,0,3,63377,3,"$10,547.00",3,4,$497.00,14,2609,1,48,0,0,5,0,3335,0,3,0,0,0,3,10,13,0,0,13,,,
