,County,Population With a Disability Ages 18-64,Population Ages 65+,Total APS Intakes,Total APS Completed Investigations,Validated APS Investigations,APS Clients Receiving Services,Intakes,Completed Investigation,Confirmed Investigations,Initial Intakes Alleging Abuse/Neglect,Child Abuse/ Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location*,Alleged Victims  of Child Abuse/  Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/ Neglect per 1000 Children,Total CPS Completed Investi-gations,Confirmed CPS Investi-gations,Percent Investigations Confirmed,Total Children Served in Fiscal Year 2004,Subsequently Confirmed Victims in Fiscal Years 2004 - 2009,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in Foster Care at Time*,Children in DFPS Legal Responsibility,Point of Prevalence**,Children Entering Subsitute- Care (Total Removals),Children in Substitute Care***,Children in Foster Care*,Unique Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized,DFPS Responsibility Terminated***,Paid Foster  Care Clients,Paid Foster  Expenditures*,Foster Homes,Foster/ Adoptive Homes*,Adoptive Homes**,Children Receiving Sub-Care Purchased Services,Expenditures For Sub-Care Purchased Services,Children in Substitute Care,Children Receiving In-home Purchased Services,Expenditures For InHome Purchased Services,Children Receiving In-home Services,Total,African American,Anglo,Hispanic,Native American,Other,Child Population Ages 0 - 13,Licensed Child Care Centers,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes,Child Pop- ulation Age 0-17,Child Placing Agen-cies (CPA)**,Homes Verified by CPAs,General Resi-dential Opera-tions,Inde-pent Foster and Group Homes,Resi- dential Treat-ment Centers,Mater-nity Homes,Total Resi-dential,Total Resi- dential Capacity,STAR,CYD,SYSN,YRP,TOTAL,CBCAP,FSP,TFTS
30,CAMERON,30235,45640,1488,1188,786,804,278,257,20,4868,4372,27,6786,4352,3616,1949,4837,144,132382,2205,16.7,3652,1143,31.3%,1066,256,4,0,552,4.2,226,542,459,442,0,228,54,30,32,138,457,5101570,10,9,6,241,"$211,946.78",542,193,"$12,899.40",3014,132382,306,8727,122367,50,932,105977,176,12714,28,333,34,36,132382,6,158,5,0,0,0,169,1210,649,2175,244,0,3068,,,
31,CAMP,1037,2431,66,51,40,38,0,0,0,168,132,0,190,107,94,61,129,14,3362,71,21.1,110,42,38.2%,21,6,,,60,17.8,24,58,27,53,0,22,7,1,2,26,28,304834,0,2,2,23,"$25,850.14",58,4,"$1,417.23",96,3362,560,1659,1127,2,14,2554,4,402,1,12,9,0,3362,0,9,0,0,0,0,9,20,5,0,0,0,5,,,
32,CARSON,526,1062,18,20,16,19,0,0,0,53,48,0,71,52,49,6,65,4,1485,19,12.8,48,12,25.0%,5,0,,,14,9.4,4,15,9,12,0,4,0,0,4,4,8,111351,1,1,0,1,$65.00,15,3,$195.00,4,1485,19,1342,120,1,3,1125,0,0,0,0,2,3,1485,0,2,0,0,0,0,2,5,2,0,0,0,2,,,
33,CASS,2388,5883,175,163,105,140,1,0,0,371,323,4,434,366,260,92,342,29,6624,62,9.4,265,38,14.3%,67,12,1,0,88,13.3,30,84,38,72,0,41,6,12,3,36,39,486283,0,8,2,23,"$26,286.05",84,81,"$8,603.90",118,6624,1761,4609,193,15,46,5041,10,678,3,34,15,1,6624,0,10,0,0,0,0,10,34,19,0,0,0,19,,,
34,CASTRO,670,1225,20,12,10,9,0,0,0,73,63,0,88,54,48,26,62,0,2649,33,12.5,48,15,31.3%,31,3,,,14,5.3,1,13,14,2,0,0,0,0,0,2,17,223543,1,11,0,0,$0.00,13,0,$0.00,55,2649,72,740,1829,4,4,2093,1,55,0,0,6,3,2649,0,16,0,0,0,0,16,63,37,0,0,0,37,,,
35,CHAMBERS,2890,3264,65,67,43,36,0,0,0,253,213,0,299,232,207,79,220,14,8654,63,7.3,165,34,20.6%,31,11,,,39,4.5,17,40,23,29,0,17,2,3,3,9,22,256627,0,5,1,21,"$15,085.99",40,4,"$2,910.18",87,8654,936,6050,1577,11,80,6216,11,1010,4,48,6,7,8654,0,6,0,0,0,0,6,11,30,0,1,0,31,,,
36,CHEROKEE,3878,7543,539,471,356,480,539,540,41,684,577,4,789,607,534,120,669,21,12774,170,13.3,466,80,17.2%,89,14,1,0,97,7.6,41,87,63,86,0,41,0,14,12,24,60,583667,0,4,0,39,"$45,175.41",87,20,"$3,605.39",238,12774,2074,7009,3622,7,62,9820,15,1081,1,12,20,2,12774,0,27,0,0,0,0,27,95,216,0,0,0,216,,,
37,CHILDRESS,600,1183,71,52,47,85,0,0,0,69,65,1,83,71,61,9,74,2,1759,11,6.3,58,8,13.8%,4,0,,,25,14.2,0,22,17,16,0,10,0,5,1,5,17,271418,1,1,0,2,$650.00,22,0,$0.00,33,1759,167,1031,556,1,4,1341,4,145,2,24,8,4,1759,0,2,0,0,0,0,2,6,7,0,0,0,7,,,
38,CLAY,947,2028,85,76,68,62,0,0,0,81,63,0,115,77,68,14,101,3,2377,31,13.0,68,19,27.9%,13,4,,,17,7.2,3,18,15,12,0,3,7,0,1,1,15,275797,0,3,0,0,$0.00,18,8,$408.88,28,2377,14,2199,138,10,16,1709,5,219,1,12,1,2,2377,0,11,0,0,0,0,11,43,8,0,2,0,10,,,
39,COCHRAN,301,713,45,47,44,69,0,0,0,26,19,0,26,21,16,5,21,1,1072,5,4.7,16,2,12.5%,0,0,,,10,9.3,1,7,5,8,0,1,1,1,0,6,6,84309,0,0,0,1,$15.00,7,0,$0.00,23,1072,49,367,655,0,1,847,1,16,0,0,0,1,1072,0,0,1,0,0,0,1,81,7,0,0,0,7,,,
40,COKE,279,1021,32,21,18,8,0,0,0,24,21,0,43,35,28,10,33,0,798,7,8.8,23,5,21.7%,5,0,,,1,1.3,1,2,1,0,0,0,0,0,0,0,1,39,0,0,0,0,$0.00,2,0,$0.00,9,798,0,505,288,2,3,606,2,29,0,0,0,0,798,0,1,0,0,0,0,1,3,1,0,23,0,24,,,
41,COLEMAN,682,1970,94,70,55,37,0,0,0,130,117,1,168,81,79,58,110,16,2160,85,39.4,97,46,47.4%,19,6,,,49,22.7,19,47,41,34,0,19,1,7,2,10,41,544118,0,0,0,13,"$9,369.30",47,4,$136.44,89,2160,51,1612,492,0,5,1695,1,40,5,60,5,3,2160,0,8,0,0,0,0,8,33,22,0,0,0,22,,,
42,COLLIN,70448,51294,753,571,423,293,26,26,2,4695,3789,37,4490,3142,2103,935,3555,99,205478,1220,5.9,2713,710,26.2%,376,74,6,0,465,2.3,113,436,331,370,0,115,6,53,88,158,325,4132460,7,26,15,309,"$163,625.36",436,76,"$21,248.00",1544,205478,11750,140548,34869,671,17640,153257,304,43488,82,960,192,241,205478,3,198,2,0,0,0,203,530,638,0,293,90,1021,,,
43,COLLINGSWORTH,238,683,33,27,21,32,0,0,0,45,41,1,48,34,28,14,34,4,685,10,14.6,36,8,22.2%,11,1,,,9,13.1,4,9,2,7,0,4,0,0,3,0,3,23370,0,0,0,0,$0.00,9,1,$429.38,31,685,36,356,281,6,6,507,1,68,1,12,2,2,685,0,0,0,0,0,0,0,0,5,0,0,0,5,,,
44,COLORADO,1760,4243,82,60,51,87,0,0,0,161,133,1,157,131,115,25,132,3,5261,24,4.6,96,20,20.8%,26,10,,,19,3.6,3,18,15,17,0,4,0,4,5,7,14,204769,0,1,2,10,"$6,206.53",18,0,$0.00,57,5261,1018,2338,1876,2,27,4108,10,678,1,12,8,7,5261,0,6,0,0,0,0,6,13,72,0,35,0,107,,,
45,COMAL,9294,14918,365,275,177,175,1,1,0,1192,932,8,1008,659,593,298,710,70,23058,325,14.1,591,178,30.1%,123,16,,,154,6.7,75,152,78,122,0,77,0,13,23,21,77,818877,1,10,3,23,"$20,233.22",152,22,"$9,642.57",402,23058,355,15075,7440,17,171,16959,41,3902,8,93,22,19,23058,0,45,4,0,1,0,50,282,486,0,9,37,532,,,
46,COMANCHE,1042,2983,93,78,67,35,0,0,0,157,136,0,168,124,120,39,129,1,3288,32,9.7,101,19,18.8%,40,14,,,19,5.8,1,18,15,17,0,1,5,6,1,4,15,245905,2,3,0,13,"$3,108.36",18,1,$27.00,35,3288,4,1976,1302,1,5,2529,4,159,6,72,5,1,3288,0,11,0,0,0,0,11,39,79,0,0,0,79,,,
47,CONCHO,374,656,18,24,24,32,0,0,0,30,28,0,43,23,21,5,38,1,525,15,28.6,27,10,37.0%,8,5,,,9,17.1,1,9,7,8,0,1,0,0,2,5,8,126345,0,0,1,1,$815.00,9,0,$0.00,26,525,1,321,202,0,1,393,2,85,0,0,0,1,525,0,2,0,0,0,0,2,4,4,0,0,0,4,,,
48,COOKE,3147,6560,157,116,59,54,0,0,0,428,391,5,537,422,308,73,464,8,9833,105,10.7,319,67,21.0%,48,13,,,76,7.7,22,66,47,61,0,22,0,5,10,24,47,534898,0,0,2,42,"$21,872.54",66,1,$282.75,137,9833,400,7147,2165,36,85,7497,7,503,10,120,10,14,9833,0,2,0,0,0,0,2,0,20,0,24,0,44,,,
49,CORYELL,6027,4942,235,200,147,219,1,1,0,987,867,7,1135,881,840,166,969,62,17576,225,12.8,689,136,19.7%,90,18,2,0,174,9.9,62,160,96,142,0,68,8,19,13,64,97,1041635,0,11,3,16,"$16,279.30",160,6,"$2,048.41",262,17576,3921,9609,3317,72,657,13471,30,2600,2,24,12,11,17576,0,41,0,0,0,0,41,166,111,0,34,0,145,,,
50,COTTLE,140,470,18,17,10,9,0,0,0,9,7,0,15,14,11,1,14,0,396,1,2.5,6,1,16.7%,7,5,,,2,5.1,1,3,3,2,0,1,0,0,0,1,3,52020,0,0,0,1,"$2,303.95",3,0,$0.00,2,396,67,173,152,0,4,298,1,34,0,0,0,0,396,0,0,0,0,0,0,0,0,1,0,0,0,1,,,
