,County,Region,Population Age 18-64 With a Disablilty,Population  Ages 65 Plus,Total APS  Intakes,Total APS  Completed Investigations,Validated APS  Investigations,Closed Service Delivery Stages*,Intakes,Completed Investigations,Confirmed Investigations,Total,Hispanic,Anglo,African American,Asian,Other*,Native American,Initial Intakes Alleging Abuse/Neglect,Child Abuse/Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location,Total Completed Investigations,Total Confirmed Investigations,Percent Confirmed Investigations,Unconfirmed Investigations - Ruled Out,Unconfirmed Investigations - Unable To Determine,Unconfirmed Investigations - Unable To Complete,Total Unconfirmed,Percent Unconfirmed,Totals,Not Open To Services,Family Preservation,Family Subsitute Care*,Alleged Victims of Child Abuse/ Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/Neglect per 1000 Children,Total CPS Completed Investigations,Confirmed CPS Investigations,Percent Investigations Confirmed,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in Foster Care at Time*,Families,Children,Children* Removed From Home,Percent of Children Removed,Total Children Served in Fiscal Year 2010,Subsequently Confirmed Victims in Fiscal Years 2010 - 2015,Child Population,Children in DFPS Legal Responsibility,Point Prevalence**,Children Entering Substitute Care,Children in Substitute Care - Relative*,Children in Substitute Care - Non Relative**,Children in Foster Care***,Other *,Other**,Family Reunification,Custody Given to Relative Non-PCA,Custody Given to Relative PCA,Non-Relative Adoption,Relative Adoption,Children Emancipated,Other,Relative With PCA,Relative Without PCA,Adoption by Relative,Adoption by Non-Relative,Long Term Care - Emancipation,Long Term Care - Other,Unique  Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized****,DFPS Responsibility Terminated***,Foster Homes*,Foster/ Adoptive Homes**,Adoptive Homes***,Children Receiving  In-Home Services,Children Receiving In-Home Purchased Services,Children in Substitute Care,Children Receiving Sub-Care Purchased Services,Children in Foster Care,Children in Paid Foster Care,Child PopulationAges 0 - 13,Licensed Child Care Centers,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes,Child Population Age 0-17,Child Placing  Agencies (CPA),Homes  Verified by CPAs,General Residential Operations,Indepent Foster and Group Homes,Residential Treatment Centers*,Total Residential,Total Residential Capacity,TOTALS,STAR*,CYD*,SYSN*,TFTS,CBCAP,HOPES,CBFS,HIP
47,CONCHO,009,429,710,17,10,9,2,0,0,0,592,274,310,4,1,2,1,30,24,0,19,3,15.8%,14,2,0,16,84.2%,19,17,2,0,29,24,21,4,25,0,592,4,6.8,19,3,15.8%,,,4,8,0,0.0%,16,4,592,2,3.4,0,0,2,2,,,,,,,,,,,,,,,,1,0,0,0,0,0,1,0,0,0,8,5,2,0,2,2,457,2,85,0,0,0,1,592,0,1,0,0,0,1,6,0,0,0,0,,,,,
48,COOKE,003,3286,7197,171,119,76,21,0,0,0,9766,2744,6298,249,67,311,97,614,578,6,432,125,28.9%,263,33,11,307,71.1%,432,394,16,22,709,471,398,72,637,34,9766,225,23.0,432,125,28.9%,1,0,38,104,15,14.4%,47,23,9766,128,13.1,46,49,79,105,,,,,,,,,,,,,,,,95,0,46,1,16,14,30,0,0,0,93,22,128,67,105,105,7529,9,808,10,120,17,9,9766,0,3,0,0,0,3,3,34,5,0,29,,,,,
49,CORYELL,007,6430,7150,303,219,116,27,4,3,0,23635,5737,12181,3111,273,2198,135,1111,993,9,818,192,23.5%,604,17,5,626,76.5%,818,710,55,53,1358,982,946,224,1134,91,23635,341,14.4,818,192,23.5%,,,80,194,7,3.6%,219,44,23635,200,8.5,102,117,78,111,,,,,,,,,,,,,,,,179,0,110,3,15,5,82,0,6,4,196,72,195,46,111,110,18832,30,2604,4,46,7,6,23635,1,30,0,0,0,31,102,106,50,0,56,,,,,
50,COTTLE,002,113,426,14,9,4,0,0,0,0,359,116,218,21,0,1,3,16,13,0,14,6,42.9%,7,1,0,8,57.1%,14,13,1,0,22,10,9,1,21,0,359,8,22.3,14,6,42.9%,,,0,0,0,0.0%,2,0,359,3,8.4,0,0,3,0,,,,,,,,,,,,,,,,3,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,269,1,34,0,0,0,0,359,0,0,0,0,0,0,0,9,9,0,0,,,,,
51,CRANE,009,175,649,14,12,8,3,0,0,0,1311,918,343,32,1,8,9,41,31,0,26,9,34.6%,13,4,0,17,65.4%,26,23,3,0,43,23,17,11,32,0,1311,17,13.0,26,9,34.6%,,,5,14,2,14.3%,8,0,1311,3,2.3,3,3,0,0,,,,,,,,,,,,,,,,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,995,2,120,0,0,1,0,1311,0,0,0,0,0,0,0,2,2,0,0,,,,,
52,CROCKETT,009,183,709,17,9,7,7,0,0,0,988,755,227,0,0,4,2,58,54,0,37,9,24.3%,26,2,0,28,75.7%,37,32,5,0,60,48,43,8,52,0,988,12,12.1,37,9,24.3%,,,8,20,3,15.0%,20,2,988,17,17.2,8,12,4,4,,,,,,,,,,,,,,,,12,0,9,0,1,0,3,0,0,0,20,3,16,2,4,3,792,2,80,1,12,0,0,988,0,1,0,0,0,1,2,7,7,0,0,,,,,
53,CROSBY,001,504,1208,59,52,35,15,0,0,0,1808,1279,465,51,0,13,0,105,85,0,61,22,36.1%,35,4,0,39,63.9%,61,43,13,5,128,75,62,47,81,11,1808,52,28.8,61,22,36.1%,,,23,76,11,14.5%,24,4,1808,35,19.4,16,23,13,22,,,,,,,,,,,,,,,,27,0,15,1,7,1,3,0,0,0,79,1,36,4,22,21,1382,0,0,0,0,1,2,1808,0,2,0,0,0,2,7,33,33,0,0,,,,,
54,CULBERSON,010,328,466,19,18,15,2,0,0,0,679,576,92,1,1,9,0,26,20,0,11,4,36.4%,7,0,0,7,63.6%,11,9,2,0,16,7,7,7,9,0,679,6,8.8,11,4,36.4%,,,6,17,0,0.0%,9,1,679,4,5.9,2,2,2,2,,,,,,,,,,,,,,,,4,0,2,0,0,1,1,0,0,0,17,4,4,0,2,2,527,1,59,0,0,0,0,679,0,0,0,0,0,0,0,9,9,0,0,,,,,
55,DALLAM,001,494,861,18,18,5,5,0,0,0,2195,1138,960,17,13,61,6,107,88,0,67,17,25.4%,45,4,1,50,74.6%,67,51,9,7,128,87,73,39,89,11,2195,34,15.5,67,17,25.4%,,,11,29,0,0.0%,29,7,2195,21,9.6,12,7,15,13,,,,,,,,,,,,,,,,15,0,15,0,1,0,0,0,0,0,33,10,22,7,13,13,1759,1,54,1,12,4,3,2195,0,0,0,0,0,0,0,17,13,2,2,,,,,
56,DALLAS,003,128652,240254,9197,6902,3562,960,388,373,30,680491,364776,116117,149159,31991,16602,1846,23981,21080,197,14077,3638,25.8%,8320,1835,284,10439,74.2%,14077,11797,1303,977,23229,16593,13109,4311,18918,1621,680491,5847,8.6,14077,3638,25.8%,24,0,1975,5442,146,2.7%,4711,764,680491,4646,6.8,1823,2492,2087,3063,,,,,,,,,,,,,,,,3956,10,1870,270,442,320,1559,19,68,24,3947,1416,4579,2654,3063,2982,538837,760,87712,129,1531,619,499,680491,47,783,3,0,3,836,2533,3164,824,1998,342,,,,,
57,DAWSON,009,891,2119,124,97,56,16,0,0,0,3420,2323,920,121,12,38,6,184,158,0,98,21,21.4%,61,11,5,77,78.6%,98,81,12,5,177,140,109,29,148,8,3420,33,9.6,98,21,21.4%,,,21,63,2,3.2%,51,18,3420,66,19.3,10,38,26,40,,,,,,,,,,,,,,,,51,0,13,2,22,6,14,0,0,2,57,3,64,20,40,40,2679,1,211,3,36,4,0,3420,0,9,0,0,0,9,15,12,6,1,5,,,,,
58,DEAF SMITH,001,1119,2478,66,47,32,18,1,2,1,6620,5400,1099,28,16,60,17,240,193,1,154,42,27.3%,105,5,2,112,72.7%,154,127,14,13,274,191,178,55,219,19,6620,79,11.9,154,42,27.3%,,,25,79,6,7.6%,45,12,6620,52,7.9,13,26,26,35,,,,,,,,,,,,,,,,37,0,23,0,7,4,10,0,2,1,84,49,52,20,35,34,5200,6,450,0,0,8,1,6620,0,5,0,0,0,5,11,120,103,0,17,,,,,
59,DELTA,004,483,1233,35,24,11,5,0,0,0,1124,126,833,91,5,61,8,50,41,0,31,7,22.6%,20,4,0,24,77.4%,31,24,3,4,54,36,30,15,39,5,1124,12,10.7,31,7,22.6%,,,5,17,1,5.9%,16,9,1124,24,21.4,6,9,13,15,,,,,,,,,,,,,,,,22,0,6,0,2,2,14,0,1,0,22,13,22,6,15,15,863,1,34,0,0,0,1,1124,0,6,0,0,0,6,15,1,0,0,1,,,,,
60,DENTON,003,33969,70415,1221,778,508,83,515,489,29,208025,56950,106604,17457,16381,9465,1168,4989,4221,42,3432,591,17.2%,2269,495,77,2841,82.8%,3432,3089,215,128,5189,4160,3274,607,4582,216,208025,902,4.3,3432,591,17.2%,2,0,373,890,43,4.8%,659,107,208025,616,3.0,235,267,317,398,,,,,,,,,,,,,,,,519,0,236,7,109,82,144,1,12,3,982,294,584,379,398,390,157234,261,37158,100,1200,200,162,208025,2,215,1,0,0,218,584,541,462,1,78,,,,,
61,DEWITT,008,1435,4005,111,70,24,0,0,0,0,4499,2109,1886,338,14,145,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,DICKENS,001,270,562,28,30,21,9,0,0,0,464,200,256,3,0,-1,6,31,26,0,12,0,0.0%,8,3,1,12,100.0%,12,11,1,0,21,21,13,1,20,0,464,0,0.0,12,0,0.0%,,,6,14,2,14.3%,17,5,464,10,21.6,2,5,2,3,,,,,,,,,,,,,,,,9,0,2,0,4,1,5,0,0,0,17,0,7,2,3,3,355,0,0,0,0,0,1,464,0,0,0,0,0,0,0,8,8,0,0,,,,,
63,DIMMIT,008,869,1787,52,42,22,3,1,0,0,2922,2631,243,25,17,6,0,142,119,0,100,21,21.0%,77,1,1,79,79.0%,100,84,9,7,230,179,176,39,191,12,2922,41,14.0,100,21,21.0%,,,15,46,4,8.7%,45,4,2922,71,24.3,11,43,30,46,,,,,,,,,,,,,,,,30,0,11,2,6,4,8,0,0,0,59,4,73,12,46,46,2251,5,346,0,0,3,0,2922,0,1,0,0,0,1,4,3,1,2,0,,,,,
64,DONLEY,001,293,858,32,22,20,13,0,0,0,722,105,551,50,1,15,0,50,49,0,24,3,12.5%,19,2,0,21,87.5%,24,23,1,0,30,25,22,2,28,0,722,4,5.5,24,3,12.5%,,,7,22,0,0.0%,4,0,722,10,13.9,0,2,7,7,,,,,,,,,,,,,,,,6,0,0,0,3,1,2,0,1,0,19,9,9,1,7,7,561,0,0,2,24,3,1,722,0,2,0,0,0,2,9,7,7,0,0,,,,,
65,DUVAL,011,1526,2203,92,71,31,19,1,1,0,3036,2789,233,2,0,11,1,131,111,0,93,26,28.0%,61,4,2,67,72.0%,93,70,17,6,149,101,92,42,107,8,3036,39,12.8,93,26,28.0%,,,24,68,5,7.4%,76,14,3036,41,13.5,14,18,22,32,,,,,,,,,,,,,,,,20,0,15,0,0,2,3,0,0,2,74,11,40,14,32,32,2359,6,228,0,0,0,2,3036,0,2,0,0,0,2,0,2,2,0,0,,,,,
66,EASTLAND,002,2214,4183,217,160,127,61,20,20,5,4239,1114,2991,53,9,57,15,253,220,5,178,37,20.8%,131,10,0,141,79.2%,178,157,17,4,290,219,204,41,249,10,4239,67,15.8,178,37,20.8%,1,0,31,96,0,0.0%,68,32,4239,29,6.8,12,13,17,27,,,,,,,,,,,,,,,,23,0,12,2,3,3,3,0,0,0,80,12,30,10,27,27,3316,5,243,1,9,4,1,4239,0,10,0,0,0,10,32,11,11,0,0,,,,,
67,ECTOR,009,11432,16438,662,459,313,141,13,4,0,42985,29456,10787,1696,289,589,168,2067,1784,20,1434,303,21.1%,1005,95,31,1131,78.9%,1434,1259,111,64,2389,1836,1612,332,2057,119,42985,498,11.6,1434,303,21.1%,2,0,183,513,65,12.7%,376,82,42985,457,10.6,155,244,201,260,,,,,,,,,,,,,,,,371,0,158,0,88,73,97,0,0,1,316,149,445,209,260,253,34169,45,4839,6,72,27,3,42985,2,38,0,0,0,40,91,83,63,0,20,,,,,
68,EDWARDS,008,118,554,5,3,2,0,0,0,0,443,295,145,2,0,0,1,21,19,0,11,3,27.3%,8,0,0,8,72.7%,11,9,1,1,26,20,20,5,21,0,443,6,13.5,11,3,27.3%,,,2,7,0,0.0%,6,0,443,5,11.3,0,1,4,5,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,7,2,5,4,5,5,370,0,0,0,0,0,0,443,0,0,0,0,0,0,0,10,10,0,0,,,,,
69,ELLIS,003,12005,20663,384,257,171,68,13,11,2,46263,16324,23984,4383,261,1186,125,1465,1288,14,992,258,26.0%,564,155,15,734,74.0%,992,812,153,27,1651,1166,880,349,1302,60,46263,444,9.6,992,258,26.0%,1,0,202,527,10,1.9%,296,45,46263,146,3.2,68,68,74,107,,,,,,,,,,,,,,,,124,0,64,1,15,12,52,0,12,3,374,90,142,95,107,105,34002,59,6749,11,132,25,26,46263,3,111,1,0,0,115,493,106,89,0,17,,,,,
70,EL PASO,010,59176,97317,3564,2741,1540,292,359,336,40,248583,218181,19149,5463,1698,3362,730,7632,5906,67,4805,1174,24.4%,3209,372,50,3631,75.6%,4805,4026,680,99,7780,5574,4837,1522,6258,119,248583,1994,8.0,4805,1174,24.4%,4,0,1095,2915,108,3.7%,2188,373,248583,721,2.9,204,239,445,528,,,,,,,,,,,,,,,,587,0,205,41,98,109,231,1,28,11,2972,641,684,302,528,512,190425,269,24965,115,1376,256,73,248583,9,172,6,0,0,187,791,2179,934,1168,77,,,,,
71,ERATH,003,2097,5652,96,67,28,14,14,14,2,9147,3009,5738,132,63,150,55,370,337,2,236,83,35.2%,133,16,4,153,64.8%,236,180,44,12,380,232,200,103,277,21,9147,133,14.5,236,83,35.2%,,,60,138,2,1.4%,133,29,9147,48,5.2,23,4,41,42,,,,,,,,,,,,,,,,42,0,23,0,6,2,19,0,0,0,166,32,45,11,42,42,7315,14,992,3,36,4,13,9147,1,7,1,0,0,9,115,128,103,0,25,,,,,
72,FALLS,007,1940,3253,92,63,39,8,0,0,0,3879,1257,1477,1026,2,111,6,178,149,1,143,35,24.5%,98,8,2,108,75.5%,143,118,13,12,237,174,159,42,195,9,3879,53,13.7,143,35,24.5%,,,16,45,0,0.0%,19,4,3879,33,8.5,10,16,13,18,,,,,,,,,,,,,,,,26,0,10,0,3,9,9,0,2,0,38,14,29,15,18,18,3016,4,221,1,12,2,0,3879,0,6,0,0,1,7,51,79,65,0,14,,,,,
73,FANNIN,003,3277,6955,205,144,118,41,0,0,0,7637,1255,5617,365,29,281,90,276,257,5,231,60,26.0%,147,21,3,171,74.0%,231,197,26,8,395,278,233,69,326,15,7637,108,14.1,231,60,26.0%,,,37,83,3,3.6%,40,13,7637,50,6.5,20,17,32,40,,,,,,,,,,,,,,,,46,0,21,2,10,11,8,0,4,0,78,22,49,27,40,40,5827,6,662,1,12,9,2,7637,0,10,0,0,0,10,30,0,0,0,0,,,,,
74,FAYETTE,007,1449,6260,105,74,41,4,2,2,0,5371,1949,2862,426,20,99,15,207,167,1,150,44,29.3%,101,4,1,106,70.7%,150,127,10,13,238,161,155,47,191,20,5371,70,13.0,150,44,29.3%,,,13,34,5,14.7%,72,14,5371,57,10.6,23,34,20,21,,,,,,,,,,,,,,,,49,0,24,0,9,12,9,0,3,1,46,23,54,17,21,20,4008,8,443,5,60,6,3,5371,0,4,0,0,1,5,28,98,77,0,21,,,,,
75,FISHER,002,278,952,14,12,9,4,0,0,0,798,297,469,21,4,7,0,48,41,0,30,13,43.3%,17,0,0,17,56.7%,30,21,6,3,54,26,26,22,32,1,798,23,28.8,30,13,43.3%,,,6,20,1,5.0%,10,5,798,7,8.8,1,1,1,1,,,,,,,,,,,,,,,,6,0,1,0,0,0,5,0,0,0,26,1,2,0,1,1,617,1,20,0,0,0,0,798,0,0,0,0,0,0,0,2,2,0,0,,,,,
76,FLOYD,001,376,1202,64,57,45,25,0,0,0,1756,1294,400,51,3,8,0,69,56,0,42,14,33.3%,25,3,0,28,66.7%,42,31,5,6,77,44,39,26,51,10,1756,31,17.7,42,14,33.3%,,,9,21,0,0.0%,21,5,1756,28,15.9,10,9,16,14,,,,,,,,,,,,,,,,24,0,10,0,6,4,6,0,0,0,33,3,25,4,14,14,1344,2,191,0,0,0,0,1756,0,1,0,0,0,1,1,9,9,0,0,,,,,
77,FOARD,002,183,360,22,10,9,4,0,0,0,254,58,177,17,2,0,0,18,17,0,8,2,25.0%,6,0,0,6,75.0%,8,7,1,0,11,7,7,3,8,0,254,4,15.7,8,2,25.0%,,,1,3,0,0.0%,11,0,254,1,3.9,0,0,1,1,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,3,0,1,0,1,1,195,1,78,0,0,0,0,254,0,0,0,0,0,0,0,6,6,0,0,,,,,
78,FORT BEND,006,27692,67738,1002,738,327,134,260,241,27,200969,61458,55363,43655,33051,6992,450,3086,2713,33,2270,443,19.5%,1279,461,87,1827,80.5%,2270,1809,408,53,3426,2676,1845,779,2647,85,200969,670,3.3,2270,443,19.5%,3,0,556,1549,13,0.8%,811,73,200969,253,1.3,94,141,105,164,,,,,,,,,,,,,,,,190,0,97,18,12,16,60,2,12,9,1516,305,246,129,164,158,147412,279,38182,60,707,69,233,200969,7,272,1,0,4,284,1066,189,133,0,56,,,,,
79,FRANKLIN,004,1159,2364,50,32,22,11,3,2,0,2680,637,1814,124,22,68,15,94,77,1,68,27,39.7%,32,7,2,41,60.3%,68,54,5,9,109,60,46,26,83,12,2680,43,16.0,68,27,39.7%,,,4,10,2,20.0%,16,2,2680,29,10.8,11,16,11,16,,,,,,,,,,,,,,,,28,0,11,3,3,2,12,0,4,0,11,7,27,7,16,16,2052,4,320,0,0,1,0,2680,0,6,0,0,0,6,20,4,4,0,0,,,,,
80,FREESTONE,007,1550,3951,112,84,57,6,4,3,0,4733,1060,2873,679,12,79,30,201,190,0,136,17,12.5%,110,9,0,119,87.5%,136,123,11,2,249,204,189,32,217,7,4733,44,9.3,136,17,12.5%,1,0,10,29,0,0.0%,17,3,4733,34,7.2,12,11,22,19,,,,,,,,,,,,,,,,32,0,12,0,6,6,17,0,1,1,41,13,33,5,19,19,3626,7,396,0,0,8,1,4733,0,7,1,0,0,8,64,30,30,0,0,,,,,
81,FRIO,008,1903,2394,80,63,18,6,0,0,0,4343,3835,459,7,6,27,9,309,270,4,198,55,27.8%,140,2,1,143,72.2%,198,155,23,20,414,282,276,111,303,54,4343,127,29.2,198,55,27.8%,,,39,122,9,7.4%,72,26,4343,124,28.6,59,67,52,92,,,,,,,,,,,,,,,,101,0,59,0,9,22,13,0,0,3,151,18,119,51,92,92,3350,7,498,1,12,2,0,4343,0,5,0,0,0,5,8,3,3,0,0,,,,,
82,GAINES,009,1297,1828,48,35,18,3,0,0,0,6866,2529,4180,81,14,59,3,138,118,0,91,15,16.5%,68,7,1,76,83.5%,91,78,11,2,158,122,105,30,128,6,6866,34,5.0,91,15,16.5%,,,17,55,1,1.8%,29,8,6866,27,3.9,1,9,18,21,,,,,,,,,,,,,,,,15,0,1,0,11,2,1,0,0,0,24,5,27,10,21,21,5430,4,414,2,24,0,1,6866,0,5,0,0,0,5,7,31,31,0,0,,,,,
83,GALVESTON,006,21329,39571,1359,937,455,96,25,27,3,77237,24694,36647,10383,2631,2620,262,3430,2987,24,2148,460,21.4%,1426,224,38,1688,78.6%,2148,1708,349,91,3402,2607,2199,770,2632,155,77237,705,9.1,2148,460,21.4%,2,0,445,1286,60,4.7%,724,97,77237,463,6.0,200,279,175,259,,,,,,,,,,,,,,,,362,0,201,10,49,36,108,1,9,6,1344,422,454,218,259,256,59171,129,15630,13,151,39,45,77237,4,122,1,0,1,128,406,1326,383,943,0,,,,,
84,GARZA,001,567,813,51,46,33,18,0,0,0,1306,695,513,76,0,13,9,63,53,0,31,9,29.0%,20,2,0,22,71.0%,31,25,3,3,58,38,33,15,43,6,1306,20,15.3,31,9,29.0%,1,0,9,27,1,3.7%,28,17,1306,26,19.9,12,11,15,17,,,,,,,,,,,,,,,,19,0,11,1,0,1,7,0,0,0,30,10,26,6,17,16,1040,1,45,0,0,0,0,1306,0,0,0,0,0,0,0,1,1,0,0,,,,,
85,GILLESPIE,008,1638,7648,87,68,34,19,1,1,0,5232,1965,3154,11,20,70,12,193,135,0,125,41,32.8%,74,8,2,84,67.2%,125,95,23,7,196,119,106,53,143,13,5232,70,13.4,125,41,32.8%,,,28,74,2,2.7%,27,2,5232,35,6.7,15,15,20,28,,,,,,,,,,,,,,,,25,0,15,0,5,3,6,0,0,0,77,7,35,8,28,28,3861,10,573,3,36,5,3,5232,0,4,0,0,0,4,9,50,50,0,0,,,,,
86,GLASSCOCK,009,24,239,0,0,0,0,0,0,0,309,127,180,1,0,1,0,5,2,0,3,1,33.3%,2,0,0,2,66.7%,3,2,1,0,4,2,2,2,2,0,309,2,6.5,3,1,33.3%,,,1,2,0,0.0%,0,0,309,0,0.0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,231,1,12,0,0,0,0,309,0,1,0,0,0,1,3,1,1,0,0,,,,,
87,GOLIAD,008,789,1719,45,34,12,1,0,0,0,1587,774,721,67,3,20,2,122,93,0,54,6,11.1%,45,3,0,48,88.9%,54,49,5,0,89,79,73,9,80,1,1587,10,6.3,54,6,11.1%,,,8,23,2,8.7%,19,7,1587,15,9.5,3,2,12,12,,,,,,,,,,,,,,,,15,0,3,6,0,3,4,1,1,0,23,1,14,2,12,12,1172,2,179,0,0,2,0,1587,0,5,0,0,0,5,12,0,0,0,0,,,,,
88,GONZALES,008,2042,3508,108,61,32,5,1,0,0,5621,3719,1475,305,22,84,16,211,159,3,136,31,22.8%,95,8,2,105,77.2%,136,120,11,5,253,188,172,33,220,5,5621,54,9.6,136,31,22.8%,,,14,62,12,19.4%,39,5,5621,57,10.1,17,28,26,44,,,,,,,,,,,,,,,,53,0,17,4,19,7,9,0,1,0,65,12,54,26,44,43,4381,5,271,1,12,10,1,5621,1,9,1,0,1,12,157,29,29,0,0,,,,,
89,GRAY,001,1737,3813,125,92,46,22,4,4,0,6110,2520,3198,173,22,170,27,328,301,4,198,55,27.8%,103,31,9,143,72.2%,198,168,22,8,336,233,161,56,280,13,6110,93,15.2,198,55,27.8%,,,48,113,6,5.3%,103,13,6110,55,9.0,16,11,41,45,,,,,,,,,,,,,,,,40,0,17,4,7,4,10,0,0,0,126,68,52,14,45,45,4882,11,845,0,0,2,1,6110,0,12,0,0,0,12,41,37,37,0,0,,,,,
90,GRAYSON,003,10337,22476,720,502,358,129,28,26,2,29465,6294,19275,1927,194,1333,442,1729,1578,16,1217,388,31.9%,671,137,21,829,68.1%,1217,1014,144,59,2043,1305,1047,398,1645,85,29465,675,22.9,1217,388,31.9%,1,0,215,581,26,4.5%,101,18,29465,279,9.5,110,110,164,213,,,,,,,,,,,,,,,,237,0,109,8,50,38,68,1,1,0,460,113,274,168,213,210,22465,36,3186,4,48,39,17,29465,0,18,1,0,0,19,65,22,4,0,18,,,,,
91,GREGG,004,9415,18521,579,399,250,93,115,106,8,32518,9665,14455,6828,340,1125,105,1427,1229,13,1119,338,30.2%,644,122,15,781,69.8%,1119,930,109,80,1845,1219,991,355,1490,124,32518,584,18.0,1119,338,30.2%,3,0,183,469,48,10.2%,205,41,32518,382,11.7,172,171,212,282,,,,,,,,,,,,,,,,293,0,172,12,39,30,60,0,6,6,544,224,383,113,282,275,25604,48,5424,5,60,18,11,32518,3,50,0,0,0,53,146,324,311,0,13,,,,,
92,GRIMES,007,1824,4588,122,71,45,14,0,0,0,6126,2205,2896,861,17,139,8,302,262,0,191,44,23.0%,131,15,1,147,77.0%,191,163,17,11,307,238,210,45,262,18,6126,66,10.8,191,44,23.0%,,,22,61,1,1.6%,37,2,6126,49,8.0,18,24,20,26,,,,,,,,,,,,,,,,45,0,18,0,12,5,16,0,0,2,68,11,44,13,26,26,4655,6,321,11,131,9,4,6126,0,4,0,0,0,4,7,239,239,0,0,,,,,
93,GUADALUPE,008,10249,20320,477,290,158,32,25,24,3,40448,19022,17361,2141,396,1411,117,1601,1108,12,961,233,24.2%,665,58,5,728,75.8%,961,848,57,56,1539,1116,1001,210,1329,100,40448,393,9.7,961,233,24.2%,,,115,307,39,12.7%,326,57,40448,252,6.2,128,162,85,97,,,,,,,,,,,,,,,,223,0,140,7,22,25,45,0,11,6,362,114,247,51,97,95,29634,36,4133,11,128,33,27,40448,0,95,0,0,1,96,273,208,202,0,6,,,,,
94,HALE,001,2124,4764,172,139,103,42,6,4,1,10774,7800,2392,386,24,147,25,391,334,6,285,101,35.4%,161,19,4,184,64.6%,285,225,52,8,514,324,286,115,399,22,10774,172,16.0,285,101,35.4%,,,79,211,10,4.7%,168,40,10774,120,11.1,34,45,68,81,,,,,,,,,,,,,,,,87,0,35,1,17,9,29,0,6,1,260,88,113,45,81,80,8486,6,621,3,36,6,4,10774,0,24,0,0,0,24,71,110,103,0,7,,,,,
95,HALL,001,229,810,25,20,16,11,0,0,0,783,419,292,63,0,5,4,42,38,0,26,8,30.8%,13,5,0,18,69.2%,26,21,3,2,47,29,21,11,36,2,783,15,19.2,26,8,30.8%,1,0,2,6,1,16.7%,10,6,783,8,10.2,2,4,4,5,,,,,,,,,,,,,,,,4,0,2,0,2,0,0,0,0,0,6,1,8,4,5,5,590,0,0,0,0,0,0,783,0,0,0,0,0,0,0,6,6,0,0,,,,,
96,HAMILTON,007,819,2208,41,35,12,2,0,0,0,1756,335,1383,9,3,19,7,103,91,2,57,13,22.8%,41,3,0,44,77.2%,57,52,2,3,92,71,66,8,84,8,1756,19,10.8,57,13,22.8%,,,4,18,0,0.0%,24,5,1756,12,6.8,8,7,5,6,,,,,,,,,,,,,,,,9,0,8,1,0,0,0,0,0,0,4,0,12,6,6,6,1331,3,199,2,24,1,5,1756,1,0,0,0,0,1,0,18,18,0,0,,,,,
97,HANSFORD,001,332,882,13,9,2,0,0,0,0,1710,994,690,8,5,13,0,32,26,0,22,12,54.5%,10,0,0,10,45.5%,22,15,4,3,52,21,21,21,31,9,1710,30,17.5,22,12,54.5%,,,5,14,2,14.3%,4,0,1710,24,14.0,11,16,7,13,,,,,,,,,,,,,,,,17,0,12,0,0,0,5,0,0,0,16,13,23,9,13,13,1312,1,66,1,12,5,1,1710,0,0,0,0,0,0,0,21,14,0,7,,,,,
98,HARDEMAN,002,514,930,48,30,20,7,0,0,0,1036,431,525,43,2,31,4,67,57,0,37,14,37.8%,18,5,0,23,62.2%,37,32,5,0,62,32,24,9,53,0,1036,29,28.0,37,14,37.8%,,,8,22,0,0.0%,13,2,1036,7,6.8,0,2,5,5,,,,,,,,,,,,,,,,3,0,0,0,0,0,3,0,0,0,29,1,7,2,5,5,791,2,94,1,12,1,1,1036,0,3,0,0,0,3,14,24,24,0,0,,,,,
99,HARDIN,005,5099,9054,251,171,101,40,14,13,7,14456,1073,12072,877,88,314,32,653,563,6,430,98,22.8%,288,40,4,332,77.2%,430,405,14,11,693,534,462,46,647,23,14456,143,9.9,430,98,22.8%,1,0,21,54,3,5.6%,75,19,14456,61,4.2,24,26,35,45,,,,,,,,,,,,,,,,45,0,24,0,5,8,14,0,2,2,62,25,61,17,45,45,10813,12,1492,0,0,9,2,14456,0,18,0,0,0,18,50,48,44,1,3,,,,,
