,County,Region,Population With a Disablilty Ages 18-64,Population  Ages 65 Plus,Total APS  Intakes,Total APS  Completed Investigations,Validated APS  Investigations,Closed Service Delivery Stages,Intakes,Completed Investigations,Confirmed Investigations,Total,African American,Anglo,Hispanic,Native American,Other**,Initial Intakes Alleging Abuse/Neglect,Child Abuse/Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location,Total Completed Investigations,Total Confirmed Investigations,Percent Confirmed Investigations,Unconfirmed Investigations - Ruled Out,Unconfirmed Investigations - Unable To Determine,Unconfirmed Investigations - Unable To Complete,Total Unconfirmed,Percent Unconfirmed,Not Open To Services,Family Preservation,Family Subsitute Care*,Alleged Victims of Child Abuse/ Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/ Neglect per 1000 Children,Total CPS Completed Investigations,Confirmed CPS Investi-gations,Percent Investigations Confirmed,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in  Foster Care at Time*,Number of Families,Number of Children,Children* Removed From Home,Percent of Children Removed,Total Children Served in Fiscal Year 2008,Subsequently Confirmed Victims in Fiscal Years 2008 - 2013,Children in DFPS Legal Responsibility,Point Prevalence**,Children Entering Subsitute Care (Total Removals),Children in Substitute Care***: Relative ****,Children in Substitute Care***: Non-Relative,Children in Foster Care*,Other***,Family Reunification,Custody Given to Relative PCA,Custody Given to Relative Non-PCA,Non-Relative Adoption,Relative Adoption,Children Emancipated,Other,Relative With PCA,Relative Without PCA,Adoption by Relative,Adoption by Non-Relative,Long Term Care - Emancipation,Long Term Care - Other,Unique Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized****,DFPS Custody Terminated***,Foster Homes*,Foster/ Adoptive Homes**,Adoptive Homes***,Paid Foster  Care Clients,Foster Care  Expenditures*,Children Receiving Sub-Care Purchased Services,Expenditures For Sub-Care Purchased Services,Children in Substitute Care,Children Receiving In-home Purchased Services,Expenditures For In-Home Purchased Services,Children Receiving In-Home Services,Child Population Age 0 - 13,Licensed Child Care Centers*,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes,Child Population Age 0-17,Child Placing  Agencies (CPA),Homes  Verified by CPAs,General Residential Operations,Independent Foster and Group Homes,Residential Treatment Centers,Total Residential,Total Residential Capacity,STAR*,CYD**,SYSN***,TOTAL,CBCAP*,TFTS**
136,KLEBERG,011,2678,4086,128,111,82,66,7,6,0,8460,240,1263,6756,6,195,318,292,4,250,55,22.0%,172,9,14,195,78.0%,,,,420,310,279,95,325,13,8460,102,12.1,250,55,22.0%,,,71,184,0,0.0%,193,58,71,8.4,8,32,38,49,,,,,,,,,,,,,,,36,0,8,9,9,1,11,0,1,1,46,"$851,366",35,"$33,463.00",70,11,"$2,579.67",180,6719,14,761,2,24,3,3,8460,0,8,0,0,0,8,32,126,0,17,143,,
137,KNOX,002,311,803,34,30,20,17,2,0,0,936,59,449,404,5,19,41,36,0,29,5,17.2%,17,7,0,24,82.8%,,,,45,36,25,5,40,0,936,9,9.6,29,5,17.2%,,,3,6,0,0.0%,10,5,9,9.6,0,0,9,9,,,,,,,,,,,,,,,5,0,0,0,2,0,3,0,0,0,8,"$120,613",2,$450.00,9,0,$0.00,10,736,3,94,0,0,0,1,936,0,1,0,0,0,1,5,8,0,0,8,,
138,LAMAR,004,4538,8915,332,247,155,153,15,13,2,12203,1895,7895,1619,148,646,614,506,4,427,98,23.0%,290,34,5,329,77.0%,,,,706,537,474,115,591,36,12203,156,12.8,427,98,23.0%,,,67,179,18,10.1%,120,28,101,8.3,56,41,58,68,,,,,,,,,,,,,,,86,0,56,1,8,17,24,0,4,1,66,"$682,571",50,"$22,041.46",99,47,"$4,210.82",196,9358,14,1422,9,106,10,4,12203,0,10,0,0,0,10,28,325,0,2,327,,
139,LAMB,001,979,2282,104,101,89,69,0,0,0,4013,173,1095,2689,4,52,142,123,2,126,36,28.6%,77,12,1,90,71.4%,,,,220,151,131,46,174,5,4013,63,15.7,126,36,28.6%,,,25,71,6,8.5%,70,14,29,7.2,13,18,11,16,,,,,,,,,,,,,,,23,0,13,1,7,1,5,0,1,0,15,"$190,376",7,"$3,375.28",29,1,$27.00,73,3135,2,94,1,12,5,0,4013,0,5,0,0,0,5,11,5,0,0,5,,
140,LAMPASAS,007,1301,3542,90,79,59,46,0,0,0,4909,98,3158,1364,32,257,263,229,2,184,36,19.6%,142,4,2,148,80.4%,,,,307,226,214,60,247,23,4909,73,14.9,184,36,19.6%,,,13,37,4,10.8%,77,21,69,14.1,27,42,29,36,,,,,,,,,,,,,,,60,0,31,1,7,6,26,0,0,0,37,"$484,304",7,"$10,373.75",71,0,$0.00,54,3693,4,321,4,48,1,3,4909,0,17,1,0,0,18,114,3,0,4,7,,
141,LA SALLE,008,528,1043,22,22,18,11,0,0,0,1525,4,133,1380,1,7,77,55,0,45,16,35.6%,27,2,0,29,64.4%,,,,85,50,46,32,53,4,1525,32,21.0,45,16,35.6%,,,15,41,0,0.0%,48,22,36,23.6,8,17,19,17,,,,,,,,,,,,,,,23,0,8,0,0,11,4,0,0,0,18,"$245,429",0,$0.00,36,0,$0.00,44,1174,2,99,0,0,2,0,1525,0,0,0,0,0,0,0,1,0,0,1,,
142,LAVACA,008,1435,4342,46,34,27,20,0,0,0,4310,332,2672,1219,3,84,128,109,1,76,14,18.4%,57,5,0,62,81.6%,,,,119,94,85,27,92,15,4310,22,5.1,76,14,18.4%,,,9,16,3,18.8%,38,6,41,9.5,20,19,20,30,,,,,,,,,,,,,,,41,0,21,0,7,3,11,0,4,2,28,"$221,687",13,"$10,835.35",39,0,$0.00,20,3305,8,450,10,118,13,5,4310,0,7,0,0,0,7,21,45,0,0,45,,
143,LEE,007,1153,2921,62,47,25,13,1,1,0,4122,335,2125,1527,7,128,180,153,1,127,35,27.6%,82,10,0,92,72.4%,,,,216,154,138,42,174,19,4122,57,13.8,127,35,27.6%,,,18,51,4,7.8%,36,13,69,16.7,23,36,24,37,,,,,,,,,,,,,,,57,0,25,4,3,4,25,0,2,1,38,"$463,934",7,"$4,638.95",60,0,$0.00,67,3066,7,526,2,24,3,0,4122,0,16,0,0,0,16,61,3,0,0,3,,
144,LEON,007,1098,4062,46,36,31,27,8,13,5,3803,212,2575,945,8,63,142,126,1,114,37,32.5%,69,7,1,77,67.5%,,,,199,126,109,34,165,15,3803,68,17.9,114,37,32.5%,,,9,24,2,8.3%,33,0,36,9.5,13,17,18,20,,,,,,,,,,,,,,,24,0,13,1,1,2,10,0,0,2,19,"$243,501",1,"$3,000.00",35,0,$0.00,33,2909,3,126,2,24,4,0,3803,0,7,0,0,0,7,18,33,0,0,33,,
145,LIBERTY,006,4474,10038,318,267,215,166,9,9,4,20022,1790,12023,5577,54,578,927,786,6,673,199,29.6%,423,41,10,474,70.4%,,,,1039,683,613,251,788,90,20022,334,16.7,673,199,29.6%,,,109,256,13,5.1%,181,47,313,15.6,124,189,110,156,,,,,,,,,,,,,,,270,0,126,2,30,32,102,0,3,1,144,"$1,932,108",165,"$106,744.50",299,27,"$8,212.92",295,15353,17,1297,2,24,7,5,20022,0,17,0,0,0,17,47,4,0,0,4,,
146,LIMESTONE,007,1613,4239,108,93,54,22,836,807,45,5589,992,2583,1828,10,176,231,193,3,165,30,18.2%,126,8,1,135,81.8%,,,,246,199,185,19,227,10,5589,40,7.2,165,30,18.2%,,,9,22,1,4.5%,39,9,40,7.2,8,26,16,16,,,,,,,,,,,,,,,32,0,8,8,7,6,8,0,4,1,18,"$277,971",14,"$21,913.02",42,0,$0.00,25,4345,5,462,3,36,3,5,5589,0,10,0,0,0,10,27,37,0,0,37,,
147,LIPSCOMB,001,232,532,8,6,5,1,0,0,0,893,5,458,405,7,18,21,18,0,15,3,20.0%,6,4,2,12,80.0%,,,,27,17,9,4,23,1,893,8,9.0,15,3,20.0%,,,3,6,0,0.0%,5,0,7,7.8,1,0,8,8,,,,,,,,,,,,,,,6,0,1,0,1,5,0,0,1,0,8,"$82,342",5,"$10,664.86",8,1,$27.00,6,671,0,0,0,0,2,1,893,0,1,0,0,0,1,2,3,0,0,3,,
148,LIVE OAK,011,1061,2375,49,41,31,22,0,0,0,2245,18,1064,1132,6,25,128,105,0,95,36,37.9%,45,8,6,59,62.1%,,,,166,102,78,42,124,12,2245,56,24.9,95,36,37.9%,,,29,68,2,2.9%,23,8,38,16.9,15,16,21,19,,,,,,,,,,,,,,,34,0,20,1,6,4,18,0,0,0,18,"$160,272",4,$900.00,37,3,$140.10,79,1703,3,102,1,12,2,1,2245,0,6,0,0,0,6,16,35,0,0,35,,
149,LLANO,007,1222,6425,111,75,52,48,5,5,1,3146,29,2448,575,14,80,237,205,0,138,36,26.1%,99,3,0,102,73.9%,,,,208,148,143,33,175,17,3146,55,17.5,138,36,26.1%,,,16,36,0,0.0%,66,15,63,20.0,21,32,24,30,,,,,,,,,,,,,,,54,0,21,1,10,8,19,0,0,1,28,"$365,635",16,"$9,829.45",56,2,$226.20,57,2386,7,371,1,12,4,0,3146,0,1,0,0,0,1,0,35,0,0,35,,
150,LOVING,009,10,19,0,0,0,0,0,0,0,7,0,4,3,0,0,0,0,0,0,0,0.0%,0,0,0,0,0.0%,,,,0,0,0,0,0,0,7,0,0.0,0,0,0.0%,,,0,0,0,0.0%,0,0,0,0.0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,$0,0,$0.00,0,0,$0.00,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
151,LUBBOCK,001,20689,32854,2382,2041,1603,1370,305,294,70,71582,5896,30015,32675,239,2757,3027,2733,31,2426,754,31.1%,1387,213,72,1672,68.9%,,,,4203,2741,2239,960,3243,227,71582,1354,18.9,2426,754,31.1%,,,570,1572,61,3.9%,1154,295,883,12.3,327,394,476,574,,,,,,,,,,,,,,,695,0,329,23,137,122,150,3,33,13,552,"$7,422,870",488,"$599,507.51",870,244,"$24,422.37",1723,57210,117,11753,33,396,46,37,71582,12,193,4,0,1,210,738,441,1011,133,1585,,
152,LYNN,001,432,1013,31,29,23,23,0,1,0,1592,18,593,948,10,23,52,46,0,46,14,30.4%,27,3,2,32,69.6%,,,,79,50,38,23,56,4,1592,29,18.2,46,14,30.4%,,,12,41,0,0.0%,11,3,8,5.0,4,1,7,7,,,,,,,,,,,,,,,5,0,4,0,0,0,1,0,1,1,7,"$123,410",2,$799.58,8,0,$0.00,45,1222,2,103,1,12,2,2,1592,0,3,0,0,0,3,4,11,0,0,11,,
153,MADISON,007,919,2098,37,28,19,14,2,2,1,3042,523,1592,805,6,116,107,91,2,76,30,39.5%,41,5,0,46,60.5%,,,,123,72,66,17,106,11,3042,44,14.5,76,30,39.5%,,,3,8,3,37.5%,43,6,30,9.9,13,23,8,17,,,,,,,,,,,,,,,26,0,13,0,2,0,12,0,1,1,22,"$143,524",7,"$4,516.14",31,2,$904.80,16,2332,7,257,1,12,2,2,3042,0,2,0,0,0,2,2,53,0,0,53,,
154,MARION,004,1112,2606,104,80,71,60,0,0,0,1948,511,1213,127,9,88,170,151,0,131,43,32.8%,65,21,2,88,67.2%,,,,256,159,116,61,195,14,1948,92,47.2,131,43,32.8%,,,18,51,1,2.0%,17,1,25,12.8,16,6,17,20,,,,,,,,,,,,,,,24,0,18,1,0,2,10,0,0,1,18,"$131,330",5,$780.30,23,5,$349.29,71,1459,2,131,1,12,1,1,1948,0,1,0,0,0,1,0,5,0,0,5,,
155,MARTIN,009,385,672,15,11,10,9,0,0,0,1441,28,641,752,3,17,29,23,0,21,5,23.8%,14,0,2,16,76.2%,,,,32,26,20,0,32,0,1441,6,4.2,21,5,23.8%,,,4,11,1,9.1%,7,1,2,1.4,1,2,0,0,,,,,,,,,,,,,,,2,0,1,0,0,0,1,0,0,0,0,$0,1,$75.00,2,0,$0.00,8,1113,1,37,0,0,1,0,1441,0,1,0,0,0,1,2,3,0,0,3,,
156,MASON,009,311,1112,29,22,16,14,0,0,0,822,4,546,262,3,7,28,26,0,21,0,0.0%,19,2,0,21,100.0%,,,,36,36,28,3,33,0,822,0,0.0,21,0,0.0%,,,2,5,0,0.0%,12,4,1,1.2,0,1,1,1,,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,1,"$10,749",1,"$3,000.00",2,0,$0.00,5,590,2,94,0,0,0,0,822,0,0,0,0,0,0,0,24,0,0,24,,
157,MATAGORDA,006,2014,5772,126,116,99,92,4,4,1,9566,982,3071,5164,18,331,299,270,2,223,54,24.2%,139,22,8,169,75.8%,,,,367,271,217,72,295,16,9566,91,9.5,223,54,24.2%,,,45,137,3,2.2%,31,5,46,4.8,18,17,31,33,,,,,,,,,,,,,,,33,0,18,0,7,1,11,1,3,0,34,"$485,859",11,"$6,560.96",48,25,"$6,273.82",136,7368,11,972,1,12,16,1,9566,0,6,0,0,1,7,35,86,0,22,108,,
158,MAVERICK,008,3944,6480,178,187,121,126,0,0,0,18555,19,393,17849,232,62,283,238,2,212,22,10.4%,184,5,1,190,89.6%,,,,356,307,297,24,332,8,18555,42,2.3,212,22,10.4%,,,18,61,5,8.2%,23,5,27,1.5,11,13,15,24,,,,,,,,,,,,,,,18,0,11,0,3,3,1,0,2,1,25,"$439,437",7,"$9,525.00",28,3,$562.96,63,14223,16,1695,1,12,4,4,18555,0,6,0,0,0,6,16,117,0,0,117,,
159,MCCULLOCH,009,649,1841,100,99,93,81,0,0,0,1999,36,1086,850,2,25,115,105,2,110,28,25.5%,74,8,0,82,74.5%,,,,178,131,117,36,142,8,1999,46,23.0,110,28,25.5%,,,15,30,10,33.3%,14,5,25,12.5,11,8,18,17,,,,,,,,,,,,,,,23,0,11,0,8,3,1,0,0,0,16,"$169,486",5,"$7,670.00",26,0,$0.00,40,1503,4,220,2,24,3,1,1999,0,17,0,0,0,17,70,20,0,0,20,,
160,MCLENNAN,007,15206,31090,1005,691,342,193,109,96,13,60576,9486,26522,22109,150,2309,2831,2485,26,1996,489,24.5%,1418,75,14,1507,75.5%,,,,3137,2281,2136,594,2543,179,60576,771,12.7,1996,489,24.5%,,,306,888,34,3.8%,393,81,564,9.3,217,274,271,343,,,,,,,,,,,,,,,472,0,228,19,111,83,100,3,12,9,342,"$3,992,871",204,"$172,773.53",545,35,"$10,120.37",1013,47351,107,10494,23,276,53,28,60576,3,76,3,0,2,84,681,326,775,9,1110,,
161,MCMULLEN,011,60,201,0,0,0,0,0,0,0,120,2,53,65,0,0,3,3,0,2,0,0.0%,2,0,0,2,100.0%,,,,3,3,3,0,3,0,120,0,0.0,2,0,0.0%,,,2,4,0,0.0%,4,0,2,16.7,0,2,0,0,,,,,,,,,,,,,,,2,0,0,0,0,0,2,0,0,0,0,$0,0,$0.00,2,0,$0.00,3,84,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0
162,MEDINA,008,3805,7349,158,140,62,49,7,6,2,12176,81,4396,7467,38,194,430,357,5,304,87,28.6%,194,23,0,217,71.4%,,,,510,343,304,170,340,43,12176,142,11.7,304,87,28.6%,,,83,243,22,9.1%,236,45,190,15.6,73,102,83,122,,,,,,,,,,,,,,,146,0,74,1,20,21,40,0,5,2,127,"$1,507,291",55,"$36,449.92",185,14,$654.09,265,9124,14,849,0,0,3,7,12176,1,30,1,0,0,32,135,96,0,0,96,,
163,MENARD,009,179,665,26,21,18,16,0,0,0,429,0,206,223,0,0,12,11,0,17,5,29.4%,11,1,0,12,70.6%,,,,24,18,16,3,21,2,429,6,14.0,17,5,29.4%,,,2,3,0,0.0%,5,1,8,18.6,1,5,3,6,,,,,,,,,,,,,,,4,0,1,0,0,2,1,0,0,0,6,"$106,881",3,"$4,150.00",8,0,$0.00,5,325,1,20,0,0,0,0,429,0,0,0,0,0,0,0,11,0,16,27,,
164,MIDLAND,009,11692,16193,360,278,183,105,31,26,1,38852,2490,14817,20243,134,1168,1121,930,8,865,215,24.9%,558,63,29,650,75.1%,,,,1333,970,828,196,1137,45,38852,335,8.6,865,215,24.9%,,,122,317,20,6.3%,327,77,214,5.5,63,107,107,138,,,,,,,,,,,,,,,163,0,65,13,35,25,46,0,11,0,135,"$2,105,286",180,"$132,625.25",214,47,"$6,248.85",338,30706,63,6585,8,91,35,13,38852,3,62,1,0,0,66,197,202,0,18,220,,
165,MILAM,007,1581,4725,115,92,61,49,0,0,0,6392,640,3198,2422,12,120,301,260,1,210,74,35.2%,129,6,1,136,64.8%,,,,374,234,224,85,289,39,6392,120,18.8,210,74,35.2%,,,38,95,4,4.2%,142,42,109,17.1,48,62,41,53,,,,,,,,,,,,,,,97,0,47,4,9,17,27,0,0,0,51,"$705,725",21,"$21,678.02",103,4,$638.34,111,4911,6,358,6,72,11,0,6392,0,6,1,0,0,7,69,132,0,0,132,,
166,MILLS,007,281,1208,14,13,8,5,0,0,0,1160,20,841,284,1,14,51,45,0,28,7,25.0%,19,2,0,21,75.0%,,,,48,35,33,7,41,10,1160,10,8.6,28,7,25.0%,,,3,10,0,0.0%,15,1,14,12.1,10,10,5,12,,,,,,,,,,,,,,,13,0,10,1,0,1,1,0,0,1,12,"$150,799",8,"$3,922.00",15,0,$0.00,13,843,2,60,1,12,3,3,1160,0,11,0,0,1,12,154,7,0,0,7,,
167,MITCHELL,002,903,1351,62,63,44,33,0,0,0,1807,74,858,847,6,22,125,110,0,95,36,37.9%,52,6,1,59,62.1%,,,,162,96,80,48,114,5,1807,64,35.4,95,36,37.9%,,,18,53,3,5.7%,41,11,11,6.1,5,2,6,8,,,,,,,,,,,,,,,6,0,2,1,0,0,5,0,0,0,10,"$150,075",7,"$2,941.63",8,5,$159.00,59,1394,2,77,0,0,1,2,1807,0,0,0,0,0,0,0,14,0,0,14,,
168,MONTAGUE,002,1745,4266,199,168,145,108,6,5,0,4592,19,3589,860,33,91,213,191,4,188,66,35.1%,115,7,0,122,64.9%,,,,302,189,181,74,228,18,4592,97,21.1,188,66,35.1%,,,46,122,1,0.8%,53,22,84,18.3,18,54,21,58,,,,,,,,,,,,,,,59,0,22,2,2,2,36,0,7,1,61,"$676,339",14,"$12,179.22",75,1,$27.00,154,3546,8,389,3,36,1,3,4592,0,12,0,0,0,12,30,4,0,0,4,,
169,MONTGOMERY,006,27241,59554,1084,849,629,515,56,55,5,135765,6218,79881,42696,495,6475,3736,2978,26,2304,423,18.4%,1522,267,92,1881,81.6%,,,,3559,2825,2267,623,2936,230,135765,624,4.6,2304,423,18.4%,,,352,927,48,5.2%,719,158,796,5.9,282,383,395,481,,,,,,,,,,,,,,,672,0,288,33,109,95,225,1,17,10,474,"$7,098,112",482,"$378,922.05",778,99,"$16,209.44",1062,103810,160,19804,18,216,67,23,135765,9,181,5,0,1,196,711,713,0,8,721,,
170,MOORE,001,1568,2255,35,28,21,18,1,1,0,7199,64,1743,4640,23,729,201,180,2,166,30,18.1%,128,3,5,136,81.9%,,,,279,207,190,34,245,11,7199,68,9.4,166,30,18.1%,,,23,72,0,0.0%,73,17,33,4.6,4,10,18,15,,,,,,,,,,,,,,,25,0,4,2,3,3,17,0,2,1,16,"$343,662",3,$911.48,28,6,"$1,270.05",85,5675,5,303,0,0,5,3,7199,0,3,0,0,0,3,5,15,0,0,15,,
171,MORRIS,004,1252,2665,67,53,39,28,0,0,0,3032,683,1718,488,14,129,180,160,0,121,34,28.1%,66,20,1,87,71.9%,,,,199,147,107,37,162,12,3032,48,15.8,121,34,28.1%,,,22,53,0,0.0%,34,12,21,6.9,12,15,6,13,,,,,,,,,,,,,,,17,0,12,0,2,2,6,0,2,0,13,"$92,947",12,"$7,997.53",21,13,"$2,623.30",57,2300,4,159,2,24,3,3,3032,0,5,0,0,0,5,16,12,0,0,12,,
172,MOTLEY,001,80,351,17,18,13,13,0,0,0,248,2,176,67,2,1,6,2,0,2,1,50.0%,1,0,0,1,50.0%,,,,5,2,2,0,5,0,248,3,12.1,2,1,50.0%,,,0,0,0,0.0%,2,2,3,12.1,0,0,2,1,,,,,,,,,,,,,,,2,0,0,0,0,1,1,0,0,1,1,"$42,588",0,$0.00,2,1,$84.00,2,180,0,0,0,0,0,0,248,0,1,0,0,0,1,0,6,0,0,6,,
173,NACOGDOCHES,005,6850,8376,250,193,178,185,3,3,1,16625,3126,8051,4784,53,611,520,383,6,326,65,19.9%,245,16,0,261,80.1%,,,,540,409,384,85,455,53,16625,126,7.6,326,65,19.9%,,,31,84,3,3.6%,94,35,205,12.3,48,81,115,161,,,,,,,,,,,,,,,158,0,48,16,21,38,55,2,8,3,161,"$1,737,070",92,"$67,094.02",196,22,"$5,160.01",107,13140,16,2094,2,24,6,3,16625,1,42,0,0,1,44,172,123,0,22,145,,
174,NAVARRO,003,2649,7653,193,167,145,126,57,50,12,13313,1704,5842,5201,27,539,480,426,5,330,69,20.9%,212,45,4,261,79.1%,,,,560,416,335,96,464,26,13313,125,9.4,330,69,20.9%,,,42,129,15,11.6%,68,15,107,8.0,40,34,74,88,,,,,,,,,,,,,,,88,0,40,4,26,21,13,0,4,1,87,"$1,028,904",119,"$66,371.67",108,8,"$2,568.37",138,10187,18,1598,5,60,8,9,13313,3,50,1,0,1,55,234,71,0,24,95,,
175,NEWTON,005,1664,2564,99,68,53,36,2,2,0,3132,648,2215,147,21,101,94,86,0,78,17,21.8%,49,11,1,61,78.2%,,,,117,94,76,7,110,5,3132,20,6.4,78,17,21.8%,,,8,23,2,8.7%,10,3,26,8.3,7,4,20,24,,,,,,,,,,,,,,,21,0,7,0,6,2,8,0,0,0,25,"$458,840",6,"$11,297.59",24,3,$360.77,37,2332,4,222,0,0,0,0,3132,0,1,0,0,0,1,5,12,0,0,12,,
176,NOLAN,002,1332,2703,151,109,75,47,4,5,1,3993,211,1807,1881,7,87,308,261,3,220,67,30.5%,140,9,4,153,69.5%,,,,356,231,209,66,290,17,3993,117,29.3,220,67,30.5%,,,35,87,3,3.4%,162,35,61,15.3,15,23,22,37,,,,,,,,,,,,,,,55,0,15,14,6,2,23,0,4,0,42,"$409,171",2,$199.95,45,8,$706.15,117,3138,9,651,1,12,3,2,3993,0,6,0,0,0,6,16,61,0,1,62,,
177,NUECES,011,31089,45451,1914,1497,1101,933,664,599,63,88215,2846,18499,64058,193,2619,4097,3651,34,2808,644,22.9%,1804,250,110,2164,77.1%,,,,4600,3439,2837,1008,3592,122,88215,1004,11.4,2808,644,22.9%,,,696,1834,44,2.4%,1852,357,440,5.0,175,150,277,303,,,,,,,,,,,,,,,377,0,179,20,37,54,191,0,6,4,286,"$3,931,475",281,"$354,340.53",427,153,"$16,609.98",1920,68395,152,13140,41,486,63,52,88215,10,111,3,0,0,124,721,430,1538,72,2040,,
178,OCHILTREE,001,714,1162,22,14,13,6,0,0,0,3459,8,1111,2294,17,29,75,66,0,67,22,32.8%,33,8,4,45,67.2%,,,,121,78,56,23,98,3,3459,41,11.9,67,22,32.8%,,,9,23,0,0.0%,11,7,11,3.2,3,3,8,9,,,,,,,,,,,,,,,9,0,6,0,0,0,3,0,4,0,14,"$138,798",5,$871.20,11,2,$54.00,23,2752,5,308,0,0,4,0,3459,0,6,0,0,0,6,9,16,0,8,24,,
179,OLDHAM,001,144,311,3,3,2,2,0,0,0,587,30,450,95,4,8,11,10,0,12,0,0.0%,12,0,0,12,100.0%,,,,18,18,18,1,17,1,587,0,0.0,12,0,0.0%,,,1,4,0,0.0%,0,0,1,1.7,0,0,1,1,,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,1,"$45,927",1,$260.00,1,0,$0.00,4,369,1,51,0,0,0,0,587,0,0,1,0,0,1,437,0,0,0,0,0,0
180,ORANGE,005,9169,12397,365,298,183,148,17,17,4,20699,2065,15734,2046,83,771,1134,1021,11,850,219,25.8%,508,96,27,631,74.2%,,,,1344,978,775,122,1222,54,20699,340,16.4,850,219,25.8%,,,60,132,16,12.1%,141,29,212,10.2,70,58,129,166,,,,,,,,,,,,,,,186,0,71,12,17,20,81,1,18,6,165,"$1,588,643",88,"$49,196.87",187,7,$783.14,221,15782,23,2583,4,48,11,11,20699,0,37,0,0,0,37,147,74,0,12,86,,
181,PALO PINTO,003,1533,5225,195,159,122,103,1,1,0,7149,184,4617,2169,27,152,446,422,3,317,111,35.0%,174,28,4,206,65.0%,,,,542,314,264,169,373,44,7149,198,27.7,317,111,35.0%,,,90,219,17,7.8%,129,39,133,18.6,65,48,82,103,,,,,,,,,,,,,,,110,0,65,2,22,4,24,0,0,0,104,"$1,116,795",88,"$36,041.22",130,6,"$1,483.16",247,5481,6,619,1,12,12,8,7149,0,5,0,0,0,5,19,31,0,0,31,,
182,PANOLA,004,2257,4076,103,88,59,50,0,0,0,5869,948,3811,942,19,149,208,187,2,160,34,21.3%,106,17,3,126,78.8%,,,,249,188,158,26,223,2,5869,51,8.7,160,34,21.3%,,,18,47,0,0.0%,37,9,22,3.7,2,8,14,17,,,,,,,,,,,,,,,13,0,2,0,5,0,6,0,1,1,17,"$336,836",9,"$8,659.32",22,13,"$1,175.49",61,4550,7,561,1,12,4,1,5869,0,4,0,0,0,4,8,34,0,0,34,,
183,PARKER,003,7163,17340,323,269,204,156,2,2,1,31917,387,24757,5658,217,898,1288,1143,10,894,225,25.2%,573,68,28,669,74.8%,,,,1413,999,857,272,1141,82,31917,373,11.7,894,225,25.2%,,,154,375,26,6.9%,263,62,193,6.0,110,90,98,147,,,,,,,,,,,,,,,161,0,112,5,10,18,30,0,1,0,145,"$1,516,099",114,"$58,403.87",188,28,"$4,018.85",395,23685,42,3886,1,12,14,10,31917,0,41,1,0,0,42,178,10,0,3,13,,
184,PARMER,001,747,1329,25,19,14,14,0,0,0,3288,17,799,2458,2,12,53,48,0,41,8,19.5%,31,2,0,33,80.5%,,,,70,52,48,13,57,0,3288,18,5.5,41,8,19.5%,,,8,22,0,0.0%,10,3,3,0.9,0,0,3,3,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,3,"$89,152",1,$72.00,3,2,$294.00,19,2567,1,48,1,12,1,0,3288,0,4,0,0,0,4,13,13,0,0,13,,
185,PECOS,009,1417,2026,59,53,46,39,0,0,0,3905,20,596,3245,9,35,142,101,1,84,25,29.8%,51,5,3,59,70.2%,,,,145,98,86,20,125,5,3905,40,10.2,84,25,29.8%,,,11,33,5,15.2%,50,10,22,5.6,8,9,13,16,,,,,,,,,,,,,,,13,0,7,3,1,0,2,0,1,1,17,"$256,179",6,"$2,817.54",22,4,$775.37,49,3124,4,319,2,24,1,1,3905,0,3,0,0,0,3,3,12,0,0,12,,
186,POLK,005,5065,9550,339,225,155,122,2,2,0,9725,1032,6132,2032,241,288,492,415,5,316,78,24.7%,208,26,4,238,75.3%,,,,541,396,347,106,435,47,9725,139,14.3,316,78,24.7%,,,39,105,3,2.9%,117,32,123,12.6,44,56,58,90,,,,,,,,,,,,,,,113,0,44,1,17,10,54,0,5,1,89,"$803,197",46,"$26,349.87",114,12,"$1,136.30",156,7472,7,745,2,24,2,1,9725,0,21,0,0,0,21,100,38,0,9,47,,
187,POTTER,001,9100,14039,779,712,542,430,32,23,6,34536,3219,11355,17199,130,2633,1959,1669,32,1448,382,26.4%,831,191,44,1066,73.6%,,,,2367,1643,1256,552,1815,94,34536,674,19.5,1448,382,26.4%,,,353,916,12,1.3%,591,150,361,10.5,100,100,261,315,,,,,,,,,,,,,,,251,0,108,20,61,29,73,0,16,3,311,"$4,756,161",384,"$293,595.93",361,289,"$34,323.32",967,27631,43,4329,1,12,38,21,34536,7,55,1,0,0,63,186,106,745,11,862,,
